Date;Total Mails;Total Detected;Hidden Partial;Hidden Full;1and1;AOL;AdobeMarketingCloud;Amazon;AppRiver;Apple;CenturyLink;Cisco;Comcast;Epsilon;ExperianMarketingServices;Fujitsu;GoDaddy;Google;MAXMailProtection;McAfee;Microsoft;Mimecast;NTT Communications;OVH;Oracle;Proofpoint;Rackspace;Salesforce;SoftLayer;Strato;Symantec;TrendMicro;VMware;Virtustream;Yahoo
1995-02;14;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995-03;684;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995-04;998;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995-05;384;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995-06;260;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995-07;407;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995-08;1054;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995-09;712;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995-10;587;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995-11;618;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995-12;842;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996-01;542;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996-02;1016;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996-03;788;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996-04;1157;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996-05;1265;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996-06;1813;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996-07;1700;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996-08;1073;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996-09;689;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996-10;727;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996-11;936;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996-12;1630;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997-01;2090;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997-02;1400;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997-03;925;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997-04;1888;3;3;3;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;
1997-05;1109;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997-06;2686;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997-07;2629;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997-08;2737;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997-09;1708;8;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997-10;1718;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997-11;1835;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997-12;1418;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998-01;2436;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998-02;2222;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998-03;2180;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998-04;1932;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998-05;2185;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998-06;1792;24;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998-07;1859;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998-08;1278;5;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1998-09;1758;12;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998-10;1385;19;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
1998-11;1129;9;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
1998-12;1136;17;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999-01;1542;56;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999-02;1035;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999-03;1374;7;2;2;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;
1999-04;1518;22;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
1999-05;1287;13;3;3;;2;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1999-06;1461;11;3;3;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;
1999-07;1899;134;109;109;;3;;;;;;;;;;;;;;;2;;;;104;;;;;;;;;;
1999-08;1901;39;36;36;;9;;;;;;;;;;;;;;;;;;;27;;;;;;;;;;
1999-09;1043;39;30;30;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;
1999-10;2306;195;150;150;;;;;;;;;;;;;;;;;4;;;;146;;;;;;;;;;
1999-11;3253;183;148;148;8;2;;2;;;;;;;;;;;;;3;;;;133;;;;;;;;;;
1999-12;4291;186;116;116;4;;;1;;;;;;;;;;;;;;;;;109;;;;;2;;;;;
2000-01;6661;296;151;151;2;;;;;;;;;;;;;;;;7;;;;142;;;;;;;;;;
2000-02;7117;302;139;139;3;1;;2;;;;;;;;16;;;;;7;;;;109;;;;;1;;;;;
2000-03;9518;422;188;188;9;5;;2;;;;;;;;4;;;;;5;;;;159;;;;;3;;;;;1
2000-04;10415;491;243;243;15;4;;1;;;;;;;;;;;;;9;;1;;213;;;;;;;;;;
2000-05;11670;498;141;141;12;6;;;;;;;;;;1;;;;;5;;4;5;102;;;;;1;;;4;;1
2000-06;13398;626;208;206;12;29;;1;;;;;;;;9;;2;;;;;;9;139;;;;;4;;;2;;1
2000-07;14370;903;267;266;14;8;;;;;;;;;;7;1;;;;;;2;5;222;;;;;2;;;;;6
2000-08;14962;1113;298;297;24;7;;;;;2;;;;;5;;;;;;;1;3;245;;;;;7;;;;;4
2000-09;14868;1276;495;495;44;;;;;1;1;;;;;1;;;;;;;3;2;341;;;;;101;;;;;1
2000-10;17369;1338;265;265;62;;;;;;1;;;;;4;;5;;;6;;2;1;153;;;;;29;;;;;2
2000-11;19061;1589;465;460;66;11;;1;;;;;;;;2;;;;;;;1;;371;;;;;13;;;;;
2000-12;18746;1299;237;234;48;12;;;;;;;;;;4;;;;;;;10;;156;;;;;7;;;;;
2001-01;23505;1453;232;230;23;15;;;;;4;;;;;4;;6;;;1;;19;1;150;;;;;5;;;;;4
2001-02;23018;1217;228;228;21;13;;;;;1;;;;;1;;1;;;1;;16;;154;;;;;10;;;;;10
2001-03;26393;934;124;124;13;15;;4;;;;;;;;1;1;;;;2;;4;;73;;;;;10;;;;;1
2001-04;25404;652;106;105;22;20;;1;;;2;;;;;;;;;;2;;3;11;23;;;;;16;;;1;;5
2001-05;25843;781;106;106;13;13;;;;1;22;;;;;1;;;;;;;3;;37;;;;;3;;;;;13
2001-06;26783;718;68;66;14;12;;;;;;;;;;;;1;;;8;;8;;9;;;;;12;;;;;4
2001-07;27050;878;118;108;42;17;;;;1;2;;;;;5;;5;;;17;;6;5;10;;;;;8;;;;;
2001-08;28373;905;109;105;24;18;;;;;;;;;;;;;;;22;;12;;19;;;;;10;1;;;;4
2001-09;23333;395;38;37;2;11;;6;;;;;;;;;;;;;8;;3;;;;;;;;;;;;8
2001-10;28126;526;32;32;4;1;;;;;;;;;;7;;;;;7;;5;;1;;;;;1;2;;;;4
2001-11;29248;126;10;8;4;3;;;;;;;;;;;;;;;2;;;;;;;;;1;;;;;
2001-12;24241;213;66;66;21;8;;1;;;14;;;;;;;;;;;;;;15;;;;;5;;;;;2
2002-01;34530;315;74;73;19;4;2;1;;3;7;;;;;1;;;;;;;;3;15;;;;;8;5;;;;6
2002-02;36869;466;95;79;60;20;;;;2;4;;;;;3;;;;;;;;;1;;;;;1;1;;;;3
2002-03;35057;480;71;59;20;26;;;;;4;;;;;3;;;;;6;;;1;2;;;;;8;1;;;;
2002-04;39730;530;81;81;45;4;;;;;4;;;;;1;;;;;2;;1;;2;;;;;14;6;;;;2
2002-05;36688;635;101;97;51;17;;6;;;;;;;;6;;;;;2;;;;;;;;;11;7;;;;1
2002-06;38236;500;74;73;36;18;;1;;;;;;;;;;;;;;;1;1;;;;;;14;;;;;3
2002-07;38824;567;93;92;27;19;;3;;;4;;;;;1;1;;;;3;;3;6;4;;;;;13;6;;;;3
2002-08;37080;349;51;50;6;15;;;;;;;;;;;;;;;;;;1;8;;;;;3;7;;;;12
2002-09;34500;382;70;70;28;2;;1;;;;;;;4;1;;;;;2;;3;;2;;;;;4;12;;;;11
2002-10;38032;266;58;58;7;12;;;;;;;;;;;;;;;1;;;1;2;;;;;2;22;;;;11
2002-11;35843;493;102;102;23;16;;;;;;;;;2;;;;;;;;1;5;2;;;;;19;29;;;;7
2002-12;34718;777;169;169;62;7;;;;;20;;;;3;;;;;;5;;;;6;;;;;2;17;;;;47
2003-01;45957;1236;280;263;54;54;;9;;;7;;;;3;3;;;;;19;;;;2;;;;;10;36;;;;83
2003-02;44340;3411;757;748;146;84;;1;;;75;;;;;3;;;;;9;;3;;16;;;;;20;81;;;;320
2003-03;40804;3146;559;548;102;68;1;1;;;48;;;;;10;;;;;7;;1;3;29;;;;;53;38;;;;198
2003-04;42470;3107;644;633;175;42;;4;;2;96;;;;;3;;;;;12;;5;1;53;;;;;28;55;;;;168
2003-05;39764;3057;500;490;118;53;14;1;;;118;;;;;2;;1;;;9;;2;3;18;;;;;34;39;;;;91
2003-06;39744;3781;697;690;196;34;1;2;;;129;;3;;;4;;4;;;23;;7;;10;;2;;;86;32;;;;166
2003-07;42742;3849;777;766;289;37;1;5;;;60;;113;;;5;1;;;;13;;2;;22;;;;;40;52;;;;138
2003-08;40789;3423;688;671;235;42;;1;;;23;;147;;;10;;;;;16;;2;;36;;;;;32;49;;;;96
2003-09;36615;3031;753;722;210;60;;1;;2;48;60;106;;;6;;1;;;9;;6;1;34;;;;;45;62;;;;109
2003-10;41348;3577;936;891;302;69;;6;;;57;20;127;;;3;2;;;;22;;2;5;45;;34;;;32;61;;;;150
2003-11;39538;3503;915;870;269;66;5;31;;7;87;;203;;1;2;3;;;;9;;1;10;35;;33;;;13;50;;;;90
2003-12;36509;3294;890;862;251;34;;28;;;86;8;254;;;4;11;;;;22;;;7;41;;20;;;30;37;;;;59
2004-01;41366;4042;1118;1076;379;79;;26;;2;61;;292;;;10;;;;;21;;1;11;27;;11;;;22;93;;;;86
2004-02;45385;3998;1024;1003;411;18;;23;;4;52;;219;;;;;;;;;;2;2;26;;51;;;27;74;;;8;108
2004-03;49474;4472;1158;1145;401;25;1;8;;4;57;;315;;;1;3;;;;4;;3;;15;;75;;;10;100;;;5;131
2004-04;42984;3851;1041;1037;399;23;;18;;12;51;1;254;;;8;7;1;;;14;;;1;25;;30;;;9;53;;;4;131
2004-05;40052;3377;726;725;209;6;1;24;;11;32;4;151;;;;;3;;;11;;;12;35;;30;;;18;54;;;2;124
2004-06;42416;4451;1126;1123;434;28;;13;;2;26;;212;;;1;1;5;;;35;;;13;26;;44;;;22;86;;;;187
