Date;Total Mails;Total Detected;Hidden Partial;Hidden Full;1and1;AOL;AdobeMarketingCloud;Amazon;Apple;CenturyLink;Comcast;Fujitsu;GoDaddy;Google;McAfee;Microsoft;NTT Communications;OVH;Oracle;Proofpoint;Rackspace;SoftLayer;Strato;Symantec;Virtustream;Yahoo
2002-07;3;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2002-08;20;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2002-09;10;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2002-10;189;6;6;6;6;;;;;;;;;;;;;;;;;;;;;
2002-11;283;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2002-12;336;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2003-01;401;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2003-02;374;2;0;0;;;;;;;;;;;;;;;;;;;;;;
2003-03;258;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2003-04;319;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2003-05;358;1;1;1;;;;;;1;;;;;;;;;;;;;;;;
2003-06;282;2;2;2;2;;;;;;;;;;;;;;;;;;;;;
2003-07;330;6;0;0;;;;;;;;;;;;;;;;;;;;;;
2003-08;377;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2003-09;247;6;3;3;;;;;;3;;;;;;;;;;;;;;;;
2003-10;199;2;2;2;1;;;;;;1;;;;;;;;;;;;;;;
2003-11;246;14;8;8;;;;;;8;;;;;;;;;;;;;;;;
2003-12;83;2;2;2;;;;;;1;1;;;;;;;;;;;;;;;
2004-01;101;5;3;3;;;;;;2;1;;;;;;;;;;;;;;;
2004-02;139;19;10;10;;;;;;1;5;;;;;;;;;;;;4;;;
2004-03;100;6;3;3;;;;;;;3;;;;;;;;;;;;;;;
2004-04;216;5;3;3;;;;;;1;2;;;;;;;;;;;;;;;
2004-05;555;2;1;1;;;;;;;1;;;;;;;;;;;;;;;
2004-06;598;4;2;2;;;;;;;2;;;;;;;;;;;;;;;
2004-07;582;14;1;1;;;;;;;;;;;;;;;;;;;;;;1
2004-08;359;6;2;2;1;;;1;;;;;;;;;;;;;;;;;;
2004-09;506;25;4;4;;1;;;;;3;;;;;;;;;;;;;;;
2004-10;598;28;11;11;;;;;;1;5;;;;;;;;;;;;;;;5
2004-11;350;21;11;11;;;;;;6;5;;;;;;;;;;;;;;;
2004-12;592;19;3;3;;;;;;;3;;;;;;;;;;;;;;;
2005-01;440;46;16;16;;;;;;1;15;;;;;;;;;;;;;;;
2005-02;225;14;8;8;;;;;;;8;;;;;;;;;;;;;;;
2005-03;507;25;15;15;;;;;;;;;;;;;;1;;1;;;;;;13
2005-04;594;16;3;3;;;;;;;;;;;;;;;;;;;;;;3
2005-05;354;23;3;3;1;;;;;;;;;;;;;;;;;;;;;2
2005-06;390;17;2;2;;;;;;1;1;;;;;;;;;;;;;;;
2005-07;548;31;4;4;1;;;;;;3;;;;;;;;;;;;;;;
2005-08;582;44;5;5;;;;;;1;;;;;;;;;;;;;3;;;1
2005-09;588;32;7;7;;;;;;;;;;;;;;7;;;;;;;;
2005-10;587;57;25;25;2;;;;;;3;;;;;;;;;;;;20;;;
2005-11;317;43;13;13;;;;;;;5;;;1;;;;;;;;;7;;;
2005-12;570;59;20;20;1;;;;1;;1;;;4;;;;;;;;;10;;;3
2006-01;930;56;27;27;2;;;;;1;13;;;1;;;;;;;;;6;;;4
2006-02;695;34;19;19;3;;;;;1;3;;;;;;;1;;;7;;;;;4
2006-03;506;48;18;18;1;;;;;;;;;5;;;;2;;;5;;3;;;2
2006-04;845;77;32;32;2;;;;;;;;;11;;;;2;;;17;;;;;
2006-05;845;84;32;32;;;;;1;;1;;1;9;;;;;;;14;;1;;;5
2006-06;1198;89;46;46;1;;;;;;6;;;27;;;;1;;;8;;;;;3
2006-07;682;46;26;26;2;;;;;;;;;15;;;;2;;;5;;;;;2
2006-08;988;119;48;48;6;;;;;;3;;;14;;;;2;;;14;;1;1;3;4
2006-09;701;83;22;22;;;;;;;;;;8;;;;;;;8;;1;;5;
2006-10;952;80;35;35;7;;;;;;;;;18;;1;;;;;7;;;;;2
2006-11;974;71;32;32;5;;;;;2;;;3;12;5;;;;;;1;;4;;;
2006-12;840;81;31;31;2;;;;;3;1;;;16;;;;1;;;4;;3;;;1
2007-01;1025;96;27;26;14;;;;;1;1;;2;5;;;;;;;;;5;;;1
2007-02;1316;86;35;35;9;;;;2;;;;;9;;;;2;;;5;;10;;;
2007-03;1946;128;36;36;6;;;;;2;5;;1;15;;;;;;;6;;1;;;
2007-04;991;88;21;21;3;;;;;;2;;;8;;1;;1;;;2;;4;;;
2007-05;1093;98;32;32;11;;;;;;2;;;13;;;;;;;4;;2;;;
2007-06;886;72;21;21;5;;;;;;;;;12;;;;;;;2;;2;;;
2007-07;933;94;18;18;3;;;;;1;;;;4;;;;3;;;1;;3;;;3
2007-08;917;39;10;10;1;;;;;;;;;4;;;;2;;;3;;;;;
2007-09;946;34;5;5;;;;;;;;1;;3;;;;;;;;;1;;;
2007-10;750;30;7;7;1;;;;;;;;;2;;;;1;;;1;;2;;;
2007-11;961;81;5;5;;;;;;;;;;5;;;;;;;;;;;;
2007-12;810;73;26;26;6;;;;;;;;;14;;;;;;;;;5;;;1
2008-01;922;139;30;30;2;;;;;;;;;11;;;;14;;;;;3;;;
2008-02;830;91;46;46;1;;;;;;;;;11;;;;15;;;;;19;;;
2008-03;793;84;29;29;2;;;;;3;;;;3;;;;17;;;;;3;;;1
2008-04;666;89;23;23;6;;;;;1;;;;3;;;;13;;;;;;;;
2008-05;860;135;24;24;8;;;;;;;;;1;;;;14;;;;;1;;;
2008-06;959;105;26;26;13;;;;;1;;;;5;;;;7;;;;;;;;
2008-07;954;107;34;34;12;;;;;;;;;16;;;;6;;;;;;;;
2008-08;894;182;107;107;8;;;;;;;;;9;;;;9;;;74;;1;;;6
2008-09;796;82;27;27;4;;;;;;;;;2;;;;14;;;;;;;;7
2008-10;1202;105;19;19;3;;;;;;;;;5;;;;11;;;;;;;;
2008-11;746;74;12;12;1;;;;;;;;;6;;;;5;;;;;;;;
2008-12;682;92;23;23;4;;;;;;;;;8;;;;11;;;;;;;;
2009-01;1061;277;203;203;1;;;;;;;;;5;;;;19;;;172;;1;;;5
2009-02;1012;292;202;202;11;;;;;1;;;;19;;;;19;1;;149;;1;;;1
2009-03;761;184;125;125;2;;;;;;;;;12;;;;9;;1;101;;;;;
2009-04;1100;292;197;197;1;;;;;;;;;1;;;;2;;;189;;;;;4
2009-05;1164;318;198;198;5;;;9;;;;;;4;;;;;;;166;;5;;;9
2009-06;1019;243;153;153;7;;;;;;;;;2;;;;6;;;136;;;;;2
2009-07;1214;319;189;189;7;;;;;;;;;3;;2;;2;;;173;;1;;;1
2009-08;1008;227;164;164;11;;;;;;;;;7;;;;;;;134;;11;;;1
2009-09;793;213;160;160;16;;;;;;;;;20;4;;;2;;;111;;2;5;;
2009-10;1355;435;254;254;18;;;;;;;;;17;;;;;;;217;;2;;;
2009-11;866;219;131;131;4;;;;;;;;;1;;;;3;;;119;;4;;;
2009-12;930;258;190;190;4;;;;;;;;;1;;;;3;;;171;;11;;;
2010-01;1053;136;23;23;2;;2;;;;;;;10;1;;;5;;;;;3;;;
2010-02;1637;154;53;53;16;;;;;;;;;28;;;;3;;;;;6;;;
2010-03;1009;115;42;42;12;;;;;;;;;18;;;;4;;;;;1;;;7
2010-04;874;161;38;35;14;;;;;;;;;13;;;;11;;;;;;;;
2010-05;1036;209;29;29;2;;;1;;;;;;19;;;;7;;;;;;;;
2010-06;1079;174;31;31;9;;;2;;;;;;11;;;;4;;;;;2;;;3
2010-07;1231;208;56;56;2;;;;;;;;;50;;;;4;;;;;;;;
2010-08;1419;186;47;47;4;;;;;1;;;;18;;;;22;;;;;2;;;
2010-09;1206;215;49;49;18;;;;;;;;;19;;1;;7;;;;;2;;;2
2010-10;1219;210;83;83;14;;;;;;;;;50;;5;;13;;;;;1;;;
2010-11;1014;199;69;69;6;;3;;;1;;;;45;;;;6;;;8;;;;;
2010-12;870;180;47;47;;;;;;;;;;32;;;;3;;;12;;;;;
2011-01;1026;202;78;78;12;;;1;;;;;;39;;;;16;;;7;;;;;3
2011-02;640;112;40;40;;;;;;;;;;25;;;;10;;;5;;;;;
2011-03;768;118;30;30;3;;;;;;;;;13;;;;12;;;2;;;;;
2011-04;574;101;32;32;;;;;;;;;3;18;;;;6;;;5;;;;;
2011-05;647;126;44;44;;;;;;;;;;33;;;;8;;;3;;;;;
2011-06;688;154;41;41;;;;;;;;;;16;;;;11;;;14;;;;;
2011-07;366;81;12;12;;;;;;;;;;;;;;8;;;4;;;;;
2011-08;491;99;26;26;;;;;;1;;;;6;;;;5;;;7;;;;;7
2011-09;859;85;19;19;;;;;;4;;;;8;;;;6;;;1;;;;;
2011-10;408;97;26;25;;;;;;3;;;4;16;;;;1;;;2;;;;;
2011-11;771;119;23;19;;;;;;4;;;;15;;;;3;;;;;1;;;
2011-12;650;83;25;23;;;;;;2;;;;16;;;;2;;;5;;;;;
2012-01;825;100;26;25;;;;;;5;;;;11;;;;6;;;4;;;;;
2012-02;984;98;38;37;;;;;;1;;;;8;;;;26;;;1;;2;;;
2012-03;975;163;77;77;2;;;;;;;;;41;;;;26;;3;2;;2;1;;
2012-04;772;140;43;43;;;;;;1;;;;36;;;;3;;;1;;2;;;
2012-05;979;123;34;33;;;;;;1;;;;29;;;;4;;;;;;;;
2012-06;820;127;58;58;;;;;;5;;;;33;;;;6;;;;;5;;;9
2012-07;801;139;54;54;1;;;;;2;;;;39;;1;;5;;;;;6;;;
2012-08;881;94;40;40;11;;;;;;;;;17;;2;;9;;;;;1;;;
2012-09;796;106;50;50;5;;;;;;;;;22;;;;22;;;;;1;;;
2012-10;933;82;26;26;;;;;;;;;;15;1;;;2;;;;;1;2;;5
2012-11;671;100;43;43;;;;;;;;;;28;;;;;;;2;;13;;;
2012-12;462;68;22;22;;;;;;;1;;;18;;;;1;;;;;2;;;
2013-01;713;73;17;17;;;;1;;;;;;6;;;;8;;;;;3;;;
2013-02;960;130;74;74;;;;;;;5;;;16;;;;51;;;;;1;;;1
2013-03;868;170;46;46;;;;;;;2;;;16;;;;24;;;;;3;;;1
2013-04;873;123;35;35;;;;1;;;1;;;8;;;;18;;;;;7;;;
2013-05;861;149;78;78;6;;;;;12;8;;;6;;4;;42;;;;;2;;;
2013-06;636;136;48;47;4;;;1;;;4;;;28;;;;10;;;;;1;;;
2013-07;516;104;36;36;1;;;;;7;;;2;14;;;;11;;;;;1;;;
2013-08;729;155;54;54;2;;;;;;;;;37;;;;12;;;1;;2;;;
2013-09;656;79;20;20;;;;;;;2;;;10;;2;;4;;2;;;2;;;
2013-10;498;74;20;20;2;;;1;;;2;;;8;;1;;4;;;;1;1;;;
2013-11;738;145;57;57;8;;;;;1;1;;;22;;;;15;;;;;10;;;
2013-12;568;73;41;41;5;;;6;;;2;;1;18;;;;7;;;;;2;;;
2014-01;404;83;31;31;2;;;3;;;5;;;12;;;;4;;;1;;4;;;
2014-02;493;85;27;27;2;;;;;;1;1;;14;;;5;3;;;;;1;;;
2014-03;382;106;29;29;;;;2;;;3;;;14;;1;;8;;;;;1;;;
2014-04;482;164;101;101;1;;;1;;;3;;;7;;89;;;;;;;;;;
2014-05;722;212;160;160;8;;;8;;;4;;;5;;125;;8;;;;;2;;;
2014-06;523;199;162;162;5;;;;;;;;3;16;;133;;3;;;;;1;;;1
2014-07;646;236;168;168;;;;;;;8;;1;15;;127;;13;;;;;4;;;
2014-08;484;146;81;81;2;;;;;;4;;1;18;;50;;2;;;;;3;;;1
2014-09;471;145;92;92;;;;;;;5;;2;9;;57;;17;;;;;2;;;
2014-10;743;259;209;209;;;;;;;2;;;8;;190;;3;;;;;6;;;
2014-11;464;114;84;84;;;;;;;;;;8;;65;;8;;;;;2;;;1
