Date;Total Mails;Total Detected;Hidden Partial;Hidden Full;1and1;AOL;AdobeMarketingCloud;Amazon;Apple;CenturyLink;Comcast;Fujitsu;GoDaddy;Google;McAfee;Microsoft;NTT Communications;OVH;Oracle;Proofpoint;Rackspace;SoftLayer;Strato;Symantec;Virtustream;Yahoo
2002-07;3;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2002-08;20;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2002-09;10;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2002-10;189;6;6;6;6;;;;;;;;;;;;;;;;;;;;;
2002-11;283;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2002-12;336;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2003-01;401;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2003-02;374;2;0;0;2;;;;;;;;;;;;;;;;;;;;;
2003-03;258;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2003-04;319;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2003-05;358;1;1;1;;;;;;1;;;;;;;;;;;;;;;;
2003-06;282;2;2;2;2;;;;;;;;;;;;;;;;;;;;;
2003-07;330;6;0;0;2;;;;;;4;;;;;;;;;;;;;;;
2003-08;377;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2003-09;247;6;3;3;1;;;;;3;;;;;;;;;;;;;;;;2
2003-10;199;2;2;2;1;;;;;;1;;;;;;;;;;;;;;;
2003-11;246;14;8;8;;;;;;8;1;;;;;;;;;;;;;;;5
2003-12;83;2;2;2;;;;;;1;1;;;;;;;;;;;;;;;
2004-01;101;5;3;3;;;;;;2;1;;;;;;;;;;;;;;;2
2004-02;139;19;10;10;;;;;;1;5;;;;;;;;;;;;4;;;9
2004-03;100;6;3;3;1;;;;;;3;;;;;;;;;;;;;;;2
2004-04;216;5;3;3;;;;;;1;2;;;;;1;;;;;;;;;;1
2004-05;555;2;1;1;1;;;;;;1;;;;;;;;;;;;;;;
2004-06;598;4;2;2;1;;;;;;2;;;;;;;;;;;;;;;1
2004-07;582;14;1;1;10;;;;;;;;;1;;1;;;;;;;;;;2
2004-08;359;6;2;2;3;;;1;;;;;;;;;;;;;;;;;;2
2004-09;506;25;4;4;8;1;;;;;3;;;8;;;;;;;;;;;;5
2004-10;598;28;11;11;2;;;;;1;5;;;12;;;;;;;;;;;;8
2004-11;350;21;11;11;;;;;;6;5;;;8;;;;;;;;;;;;2
2004-12;592;19;3;3;2;;;;;;3;;;9;;;;;;;;;;;;5
2005-01;440;46;16;16;8;;;;;1;15;;;10;;;;;;;;;;;;12
2005-02;225;14;8;8;4;;;;;;8;;;1;;;;;;;;;;;;1
2005-03;507;25;15;15;;;;;;;;;;9;;1;;1;;1;;;;;;13
2005-04;594;16;3;3;;;;;;;;;;13;;;;;;;;;;;;3
2005-05;354;23;3;3;1;;;;;;2;;;16;;;;;;;;;;;;4
2005-06;390;17;2;2;3;;;;;1;1;;;6;;2;;;;;;;;;;4
2005-07;548;31;4;4;3;;;;;;3;;;25;;;;;;;;;;;;
2005-08;582;44;5;5;10;;;;1;1;;;;25;;;;;;;;;3;;;4
2005-09;588;32;7;7;;;;;;;;;;13;;8;;7;;;;;;;;4
2005-10;587;57;25;25;12;;;;;;4;;;18;;2;;;;;;;20;;;1
2005-11;317;43;13;13;10;;;;;;5;;;18;;3;;;;;;;7;;;
2005-12;570;59;20;20;8;;;;1;;1;;;27;;4;;;;;;;10;;;8
2006-01;930;56;27;27;13;;;;;1;13;;;17;;;;;;;;;6;;;6
2006-02;695;34;19;19;7;;;;;1;3;;;9;;;;1;;;7;;;;;6
2006-03;506;48;18;18;4;;;;;;;;;25;;;;2;;;5;;3;;;9
2006-04;845;77;32;32;14;;;;;;;;;42;;;;2;;;17;;;;;2
2006-05;845;84;32;32;15;;;;1;;1;;1;36;;;;;;;14;;1;;;15
2006-06;1198;89;46;46;15;;;;;;6;;;55;;;;1;;;8;;;;;4
2006-07;682;46;26;26;4;;;;;;;;;30;;;;2;;;5;;;;;5
2006-08;988;119;48;48;11;;;;;;5;;;75;;;;2;;;14;;1;1;3;7
2006-09;701;83;22;22;5;;;;10;;3;;;45;;;;;;;8;;1;;5;6
2006-10;952;80;35;35;10;;;;1;;;;;51;;2;;;;;8;;;;;8
2006-11;974;71;32;32;8;;;;;2;3;;3;42;5;;;;;;1;;4;;;3
2006-12;840;81;31;31;4;;;;;3;3;;;56;;;;1;;;4;;3;;;7
2007-01;1025;96;27;26;16;;;;2;1;4;;2;63;;;;;;;;;5;;;6
2007-02;1316;86;35;35;27;;;;2;;;;;39;;3;;2;;;5;;10;;;
2007-03;1946;128;36;36;26;;;;1;2;5;;1;86;;;;;;;6;;1;;;
2007-04;991;88;21;21;10;;;;2;;4;;;63;;1;;1;;;2;;4;;;1
2007-05;1093;98;32;32;21;;;;;;3;;;67;;;;;;;4;;2;;;1
2007-06;886;72;21;21;5;;;;;;;;;63;;;;;;;2;;2;;;
2007-07;933;94;18;18;3;;;;;1;1;;;79;;;;3;;;1;;3;;;3
2007-08;917;39;10;10;5;;;;;;;;;28;;;;2;;;3;;;;;1
2007-09;946;34;5;5;4;;;;;;1;2;;26;;;;;;;;;1;;;
2007-10;750;30;7;7;2;;;;;;;;;24;;;;1;;;1;;2;;;
2007-11;961;81;5;5;1;;;;;;;1;;78;;;;;;;;;;;;1
2007-12;810;73;26;26;8;;;;1;;;;;40;;8;;;;;;;5;;;11
2008-01;922;139;30;30;5;;;;;;;2;;99;;3;;14;;;;;3;;;13
2008-02;830;91;46;46;4;;;;;;;;;47;;;;15;;;;;19;;;6
2008-03;793;84;29;29;5;;;;;3;;;;50;;;;17;;;;;3;;;6
2008-04;666;89;23;23;8;;;;;1;;;;62;;;;13;;;;;;;;5
2008-05;860;135;24;24;12;;;;2;;;;;100;;;;14;;;;;1;;;6
2008-06;959;105;26;26;17;;;;1;1;;;;59;;;;7;;;;;;;;20
2008-07;954;107;34;34;26;;;;;;;;;74;;1;;6;;;;;;;;
2008-08;894;182;107;107;12;;;;6;;;2;;58;;6;;9;;;74;;1;;;14
2008-09;796;82;27;27;10;;;;1;;;4;;42;;;;14;;;;;;;;11
2008-10;1202;105;19;19;13;;;;1;;;;;70;;5;;11;;;;;;;;5
2008-11;746;74;12;12;9;;;;3;;;;;56;;1;;5;;;;;;;;
2008-12;682;92;23;23;6;;;;12;;;;;59;;3;;11;;;;;;;;1
2009-01;1061;277;203;203;9;;;;12;;;;;58;;;;19;;;172;;1;;;6
2009-02;1012;292;202;202;21;;;;2;1;;;;73;;;;19;1;;149;;1;;;25
2009-03;761;184;125;125;7;;;;;;;;;63;;;;9;;1;101;;;;;3
2009-04;1100;292;197;197;10;;;;2;;;;;79;;;;2;;;189;;;;;10
2009-05;1164;318;198;198;17;;;9;5;;;;;77;;;;;;;166;;5;;;39
2009-06;1019;243;153;153;26;;;;1;;;;;45;;16;;6;;;136;;;;;13
2009-07;1214;319;189;189;20;;;;3;;;;;95;;20;;2;;;173;;1;;;5
2009-08;1008;227;164;164;15;;;;;;;;;54;;3;5;;;;134;;11;;;5
2009-09;793;213;160;160;29;;;;2;;;;;50;4;1;4;2;1;;111;;2;5;;2
2009-10;1355;435;254;254;21;;;;7;;;;;133;;28;;;;;217;;2;;;27
2009-11;866;219;131;131;7;;;;12;;;;;62;;;;3;;;119;;4;;;12
2009-12;930;258;190;190;12;;;;;;;;;50;;4;;3;;;171;;11;;;7
2010-01;1053;136;23;23;12;;2;;;;;;;85;1;10;;5;;;;;3;;;18
2010-02;1637;154;53;53;35;;;;;;;;;91;;6;;3;;;;;6;;;13
2010-03;1009;115;42;42;21;;;;;;;;;68;;;;4;;;;;1;;;21
2010-04;874;161;38;35;34;;;;13;;;;;95;;9;;11;;;2;;;;;
2010-05;1036;209;29;29;18;;;1;9;;;;;166;;8;;7;;;;;;;;
2010-06;1079;174;31;31;20;;;2;14;;;;;125;;2;;4;;;;;2;;;5
2010-07;1231;208;56;56;9;;;;;;;;;183;;5;;4;;;;;;;;7
2010-08;1419;186;47;47;11;;;;7;1;;;;131;;2;;22;;;;;2;;;10
2010-09;1206;215;49;49;25;;;;13;;;;;160;;1;;7;;;;;2;;;7
2010-10;1219;210;83;83;19;;;;6;;;10;;147;;7;;13;;;;;1;;;7
2010-11;1014;199;69;69;13;;3;;1;1;;;;160;;;;6;;;8;;;;;7
2010-12;870;180;47;47;1;;;;3;;;;;155;;;;3;;;12;;;;;6
2011-01;1026;202;78;78;21;;;1;4;;;;;137;;;;16;;;7;;;;;16
2011-02;640;112;40;40;9;;;;;;;;;87;;;;10;;;5;;;;;1
2011-03;768;118;30;30;18;;;;9;;;;;75;;;;12;;;2;;;;;2
2011-04;574;101;32;32;1;;;;;;;;3;78;;;;6;;;6;;;;;7
2011-05;647;126;44;44;2;;;;1;;;;;100;;;;8;;;3;;;;;12
2011-06;688;154;41;41;10;;;;1;;;;;113;;1;;11;;;14;;;;;4
2011-07;366;81;12;12;;;;;;;;;;59;;4;;8;;;4;;;;;6
2011-08;491;99;26;26;1;;;;;1;;;;56;;5;;5;;;7;;;;;24
2011-09;859;85;19;19;4;;;;1;4;;;;42;;;;6;;;1;;;;;27
2011-10;408;97;26;25;6;;;;2;3;;;4;40;;8;;1;;;2;;;;;32
2011-11;771;119;23;19;20;;;;1;4;;;;88;;;;3;;;;;1;;;6
2011-12;650;83;25;23;10;;;;1;2;;;;59;;;;2;;;5;;;;;6
2012-01;825;100;26;25;7;;;;1;5;;;;73;;;;6;;;4;;;;;5
2012-02;984;98;38;37;8;;;;5;1;;;;56;;;;26;;;1;;2;;;
2012-03;975;163;77;77;14;;;;;;;;;105;;2;;26;;3;2;;2;1;;8
2012-04;772;140;43;43;3;;;;;1;;;;102;;5;;3;;;1;;2;;;23
2012-05;979;123;34;33;8;;;;;1;;;;106;;1;;4;;;;;;;;4
2012-06;820;127;58;58;12;;;;;5;;;;76;;;;6;;;;;5;;;23
2012-07;801;139;54;54;10;;;;;2;;;;114;;2;;5;;;;;6;;;
2012-08;881;94;40;40;13;;;;;;;;;63;;3;;9;;;;;1;;;5
2012-09;796;106;50;50;5;;;;;;;;;63;;;;22;;;;;1;;;15
2012-10;933;82;26;26;2;;;;;;;;;47;1;6;;2;;;;;1;2;;21
2012-11;671;100;43;43;2;;;;;;;;;72;;4;;;;;2;;13;;;7
2012-12;462;68;22;22;3;;;;;;1;;;54;;2;;1;;;;;2;;;5
2013-01;713;73;17;17;;;;1;1;;;;;44;;13;;8;;;;;3;;;4
2013-02;960;130;74;74;2;;;;6;;5;;;62;;;;51;;;;;1;;;3
2013-03;868;170;46;46;7;;;;;;2;;;123;;7;;24;;;;;3;;;4
2013-04;873;123;35;35;9;;;1;11;;1;;;67;;4;;18;;;;;7;;;5
2013-05;861;149;78;78;16;;;;8;12;8;;;54;;5;;42;;;;;2;;;4
2013-06;636;136;48;47;8;1;;1;;;4;;;106;;5;;10;;;;;1;;;1
2013-07;516;104;36;36;11;;;;2;7;;;2;62;;1;;11;;;;;1;;;7
2013-08;729;155;54;54;14;;;;3;;;;;80;;7;;12;2;;1;;2;;;34
2013-09;656;79;20;20;;;;;;;2;;;62;;9;;4;;2;;;2;;;
2013-10;498;74;20;20;4;;;1;2;;2;;;46;;8;;4;;;;1;1;;;5
2013-11;738;145;57;57;13;;;;;1;1;;;99;;4;;15;;;;;10;;;2
2013-12;568;73;41;41;6;;;6;4;;2;;1;45;;;;7;;;;;2;;;
2014-01;404;83;31;31;5;;;3;;;5;;;54;;5;;4;;;1;;4;;;2
2014-02;493;85;27;27;11;;;;;;1;1;;57;;;5;3;;;;;1;;;6
2014-03;382;106;29;29;5;;;2;1;;3;;;75;;9;;8;;;;;1;;;2
2014-04;482;164;101;101;3;;;1;1;;3;;;60;;92;;;;;;;;;;4
2014-05;722;212;160;160;12;;;8;;;4;;;51;;125;;8;;;;;2;;;2
