Date;Total Mails;Total Detected;Hidden Partial;Hidden Full;1and1;AOL;AdobeMarketingCloud;Amazon;AppRiver;Apple;CenturyLink;Cisco;Comcast;Epsilon;ExperianMarketingServices;Fujitsu;GoDaddy;Google;MAXMailProtection;McAfee;Microsoft;Mimecast;NTT Communications;OVH;Oracle;Proofpoint;Rackspace;Salesforce;SoftLayer;Strato;Symantec;TrendMicro;VMware;Virtustream;Yahoo
1991-11;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994-07;10;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994-08;228;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994-09;386;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994-10;173;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994-11;280;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994-12;1265;6;2;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;
1995-01;3069;7;4;4;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;
1995-02;3614;6;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995-03;6421;26;9;9;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;
1995-04;6163;16;11;11;;;;;;1;;;;;;10;;;;;;;;;;;;;;;;;;;
1995-05;4504;28;6;6;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;
1995-06;4803;19;7;7;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;
1995-07;4348;6;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995-08;5200;11;4;4;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;1
1995-09;4861;4;3;3;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;
1995-10;5645;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995-11;5604;13;1;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
1995-12;5441;9;5;5;;;;;;;;;;;;;;;;1;;;4;;;;;;;;;;;;
1996-01;7204;10;3;3;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;
1996-02;6651;19;4;4;;;;;;;;;;;;2;;;;;;;;;2;;;;;;;;;;
1996-03;7209;15;4;4;;;;;;;;;;;;2;;;;;;;;;2;;;;;;;;;;
1996-04;6903;36;4;4;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;
1996-05;7968;52;2;2;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
1996-06;7554;34;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996-07;7657;22;6;6;;2;;;;;;;;;;1;;;;;1;;;;1;;;;;;1;;;;
1996-08;8009;17;5;5;;;;;;;;;;;;4;;;;;;;;;;;;;;1;;;;;
1996-09;7345;11;3;3;;;;;;;;;;;;2;;;;;1;;;;;;;;;;;;;;
1996-10;8883;12;4;4;;;;;;;;;;;;1;;;;;1;;;1;;;;;;;;;;;1
1996-11;9076;23;6;6;;;;;;;;;;;;3;;;;;1;;;2;;;;;;;;;;;
1996-12;8319;24;5;5;;;;;;;;;;;;1;4;;;;;;;;;;;;;;;;;;
1997-01;9534;43;8;8;;;;1;;;;;;;;3;;;;;3;1;;;;;;;;;;;;;
1997-02;9283;18;7;7;;;;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;
1997-03;9962;35;4;4;;;;;;;;;;;;;;;;;;3;;1;;;;;;;;;;;
1997-04;10499;34;12;12;;1;;;;;;;;;;;;;;;;6;;5;;;;;;;;;;;
1997-05;9362;23;15;15;;;;;;;;;;;;1;;;;;1;9;;3;;;;;;1;;;;;
1997-06;8381;50;11;11;;;;;;;;;;;;1;;;;;1;8;;1;;;;;;;;;;;
1997-07;8807;40;9;9;;2;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;
1997-08;10412;41;6;6;;3;;;;;;;;;;1;;;;;1;;;1;;;;;;;;;;;
1997-09;10818;39;11;11;;1;;;;;;;;;;5;;;;;4;;;;1;;;;;;;;;;
1997-10;10405;74;5;5;;2;;;;;;;;;;1;;;;;2;;;;;;;;;;;;;;
1997-11;10088;34;8;8;;6;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;
1997-12;7933;53;12;12;;5;;;;;;;;;;3;;;;;1;;;1;2;;;;;;;;;;
1998-01;9681;67;15;15;;5;;;;;;;;;;4;;;;;;;;5;1;;;;;;;;;;
1998-02;11366;100;41;41;;2;;;;;;;;;;5;;;;;11;;;18;5;;;;;;;;;;
1998-03;13455;108;27;27;1;;;;;;;;;;;13;;;;;6;;;3;4;;;;;;;;;;
1998-04;13568;78;15;15;;2;;;;;;;;;;2;2;;;;;;;7;2;;;;;;;;;;
1998-05;14467;104;28;28;;1;;;;;;;;;;3;12;;;;7;;;4;1;;;;;;;;;;
1998-06;13709;106;36;36;;4;;;;;;;;;;3;11;;;;10;;;7;1;;;;;;;;;;
1998-07;13603;93;29;29;;5;;;;;;;;;;12;1;;;;5;;;5;1;;;;;;;;;;
1998-08;12933;91;23;23;;2;;;;;;;;;;3;;;;;14;;;2;1;;;;;;;;;;1
1998-09;14247;95;28;28;;1;;;;;;;;;;8;;;;;7;;;9;3;;;;;;;;;;
1998-10;14871;104;23;23;;2;;;;;;;;;;;1;;;;13;;;5;2;;;;;;;;;;
1998-11;13892;95;25;25;;11;;;;;;;;;;4;;;;;3;;;2;3;;;2;;;;;;;
1998-12;13940;89;16;16;;;;;;1;;;;;;5;;;;;2;;;5;2;;;1;;;;;;;
1999-01;16310;124;23;23;;;;;;;;;;;;6;;;;;12;;;4;;;;;;;;;;;1
1999-02;12087;94;18;18;;2;;2;;;;;;;;4;1;;;;4;;;3;2;;;;;;;;;;
1999-03;11246;76;19;19;1;1;;;;;;;;;;6;4;;;;3;;1;2;;;;1;;;;;;;
1999-04;11054;75;26;26;4;;;8;;;1;;;;;5;;;;;3;;;1;1;;;1;;;;;;2;
1999-05;11410;80;9;9;1;;;;;;;;;;;2;;;;;2;;1;;2;;;1;;;;;;;
1999-06;9438;104;20;20;1;;;;;;;;;;;7;;;;;2;;;;2;;;1;;;;;;2;5
1999-07;9662;97;7;7;;;;;;;;;;;;2;;;;;2;;;;1;;;;;;;;;2;
1999-08;10910;121;6;6;;1;;;;;;;;;;3;;;;;1;;;;1;;;;;;;;;;
1999-09;11375;153;9;9;2;;;;;;;;;;;1;;;;;4;;;2;;;;;;;;;;;
1999-10;9138;142;11;11;2;;;;;;;;;;;4;;;;;3;;;;1;;;;;;;;;;1
1999-11;10070;143;24;24;1;2;;1;;;;;;;;7;;;;;4;;;1;6;;;;;;1;;;;1
1999-12;10960;161;26;26;;;;;;;;;;;;12;;2;;;8;;;;1;;;;;1;;;;;2
2000-01;12231;177;65;65;2;;;;;;;;;;;56;;;;;5;;;;;;;;;;;;;;2
2000-02;8027;155;33;28;;;;;;;;;;;;22;6;;;;1;;;1;1;;;;;;;;;2;
2000-03;12311;291;81;81;1;2;;;;;1;;;;;53;;;;;4;;;;;;;;;2;;;;;18
2000-04;10613;246;62;62;;;;;;;;;;;;25;;;;;17;;;;3;;;;;;;;;;17
2000-05;11177;307;111;111;48;;;2;;;;;;;;10;;;;;;;;;3;;;;;3;;;;;45
2000-06;11927;324;67;66;21;2;;1;;;1;;;;;8;;1;;;1;;;;3;;;;;;;;;1;28
2000-07;13900;377;38;37;2;10;;;;;;;;;;5;;;;;10;;;;1;;;;;9;;;;;1
2000-08;11514;348;41;41;13;12;;;;;;;;;;4;;;;;5;;;;2;;;;1;3;;;;;1
2000-09;11738;314;62;62;32;5;;;;;;;;;;6;;1;;;2;;;;1;;;;;13;;;2;;
2000-10;12729;384;66;64;30;13;;;;;;;;;;4;;;;;2;;;;1;;;;;15;;;;;1
2000-11;12386;311;52;52;15;4;;;;;1;;;;;8;2;;;;;;1;;2;;;;;18;;;;;1
2000-12;16785;390;88;88;30;5;;;;;;;;;;2;1;;;;12;;3;;1;;;1;;31;;;;;2
2001-01;15557;390;56;49;13;9;;;;;;;;;;6;;;;;8;;1;;;;;;5;10;;;;;4
2001-02;12457;363;56;55;25;10;;;;;;;;;;8;;;;;4;;;;1;;;;;6;;;;;2
2001-03;15514;507;102;102;77;11;;;;;;;;;;5;;;;;3;;;;2;;;;;3;;;;;1
2001-04;12827;534;41;40;13;13;;;;;;;;;;4;;;;;;;;;;;;2;;5;;;;2;2
2001-05;13088;590;82;82;38;21;;;;;2;;;;;7;;1;;;7;;;;;;;5;;1;;;;;
2001-06;13165;523;79;79;30;21;;;;;5;;;;;4;;1;;;7;;;;;;;;;10;;;;;1
2001-07;13576;650;100;99;58;9;;;;;2;;;;;11;;2;;;3;;1;;1;;;1;;5;3;;;;4
2001-08;14194;632;75;73;32;5;1;;;3;;;;;;5;;;;;2;;1;3;;;;;;13;;;;;10
2001-09;12478;588;82;82;52;4;;;;;;;;;;7;;2;;;1;;3;1;;;;;;10;;;;;2
2001-10;12596;604;112;111;56;4;;;;;1;;;;;3;;;;;5;;3;;;;;;;4;2;;;;36
2001-11;12659;646;151;150;44;80;;;;;1;;;;;1;;3;;;1;;2;;;;;;;4;;;;;17
2001-12;13608;579;87;83;53;7;;6;;;3;;;;;5;;;;;3;;;;;;;;;7;1;;;;2
2002-01;14568;613;52;50;32;3;;1;;;1;1;;;;5;;;;;2;;;;1;;1;;;3;1;;;;1
2002-02;13169;627;86;82;51;9;;1;;;1;3;;;;2;;;;;;;1;;;;;;;3;5;;;;10
2002-03;15905;795;84;83;49;7;;;;;;;;;;8;;;;;5;;2;1;;;1;;1;2;;;;;10
2002-04;14778;636;109;102;44;5;1;3;;;5;;;;;3;;;;;8;;;1;;;;;7;5;1;;;3;26
2002-05;15043;487;117;114;41;10;1;;;3;16;;;;;7;;1;;;15;;3;4;;;;;1;4;;;;;17
2002-06;14711;744;217;212;52;28;1;2;;1;7;1;;;;2;;;;;10;;1;10;;;3;;;1;;;;;102
2002-07;14586;746;181;166;62;20;1;;;1;5;;;;;4;;;;;15;;2;4;;;;;;24;;;;1;46
2002-08;13290;584;74;65;39;12;;;;;;;;;;3;2;;;;;;;4;1;;;;;2;;;;;12
2002-09;12412;473;59;56;19;11;;;;2;6;;;;;3;;;;;4;;;1;3;;;;;3;;;;;8
2002-10;14334;509;45;45;11;2;;;;1;1;;;;;8;;;;;4;;1;;3;;;;;;;;;;16
2002-11;12379;506;123;119;18;11;1;1;;3;11;;;;;6;;;;;5;;2;;1;;;;;;5;;;;60
2002-12;9421;549;89;84;14;23;;;;1;13;;;;;1;;;;;9;;;;3;;;;;;1;;;;37
2003-01;13165;486;58;58;18;5;;;;;1;;;;;1;;1;;;1;;;1;;;;;;3;3;;;;25
2003-02;14305;602;114;114;24;;;;;1;1;;;;;;;;;;19;;;;1;;;;;;;;;;69
2003-03;12951;617;76;73;9;21;2;;;;1;;;;;;1;;;;4;;1;;1;;;;;1;;;;;36
2003-04;19927;943;115;110;29;32;3;;;3;3;;;;;1;;;;;;;;4;3;;;;;;;;;;38
2003-05;19087;906;147;147;54;23;;;;1;6;;;;;4;;;;;2;;;2;;;;;;;7;;;;48
2003-06;18648;819;126;123;51;7;1;;;;7;;3;;;1;;;;;6;;;;1;;;;;7;;;;;42
2003-07;19001;1069;298;280;44;12;;;;2;6;;164;;;9;1;;;;4;;5;;;;;;;7;2;;;;42
2003-08;17551;994;304;286;53;17;1;;;;5;;189;;;7;;;;;;;;;1;;;;;4;1;1;;;25
2003-09;17387;1080;343;333;56;7;;;;2;3;;206;;;;;;;1;6;;;1;;;;;;1;1;;;2;57
2003-10;18652;909;278;275;57;7;;;;1;9;;89;;;1;1;;;;1;;;;1;;;;;8;29;1;;;73
2003-11;18778;926;312;306;75;4;;;;;21;;146;;;;;;;;1;;2;1;;;;;;2;1;;;1;58
2003-12;16227;927;266;266;57;11;;;;6;3;;117;;;7;;;;;1;;;;1;;;;;7;;;;;56
2004-01;20785;1222;420;416;97;7;;;;;2;;223;1;;2;1;3;;;1;;;2;;;1;;;1;9;;;;70
2004-02;20274;1105;455;455;113;4;1;;;;12;;265;;;3;;;;;4;;2;1;4;;;1;;1;3;;;;41
2004-03;22686;1179;458;458;87;2;2;;;;19;;255;;;2;3;;;;1;;14;;4;;5;;;7;15;;1;1;40
2004-04;16867;923;325;323;51;4;;;;;28;;183;;;2;1;;;;6;;;;11;;1;;;5;2;;;;31
2004-05;16409;937;351;345;104;15;;;;;18;;155;;;3;;;;;3;;;;4;;;;;8;;;;;41
2004-06;17813;1087;443;443;113;6;;;;2;7;;215;;;3;2;;;;3;;1;2;2;;;;;15;1;;;;71
2004-07;18669;1110;366;366;85;4;;;;;9;;142;;;2;10;3;;;;;;;2;;5;;2;1;;;;;101
2004-08;19952;1200;364;364;108;2;;4;;;13;;115;;;3;6;2;;;2;;;;;;7;;;5;;;;;97
2004-09;16053;1795;832;817;548;12;;;;2;18;4;139;;;5;;;;;;;;;;;16;;;9;;;;;88
2004-10;17586;1571;305;304;82;5;;;;;20;;79;;;;1;;;;;;;;;;6;;;4;15;;;1;92
2004-11;18400;1664;376;375;92;7;;;;2;18;;129;;;2;6;;;;;;;;;;3;;;9;7;;;;101
2004-12;18436;1610;415;409;93;17;;;;1;23;1;99;;;;1;;;;;;;;;;10;;;19;;;;;151
