Date;Total Mails;Total Detected;Hidden Partial;Hidden Full;1and1;AOL;AdobeMarketingCloud;Amazon;AppRiver;Apple;CenturyLink;Cisco;Comcast;Epsilon;ExperianMarketingServices;Fujitsu;GoDaddy;Google;MAXMailProtection;McAfee;Microsoft;Mimecast;NTT Communications;OVH;Oracle;Proofpoint;Rackspace;Salesforce;SoftLayer;Strato;Symantec;TrendMicro;VMware;Virtustream;Yahoo
1991-11;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994-07;10;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994-08;228;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994-09;386;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994-10;173;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994-11;280;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994-12;1265;6;2;2;;4;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;
1995-01;3069;7;4;4;;2;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;
1995-02;3614;6;0;0;;4;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;
1995-03;6421;26;9;9;;15;;;;;;;;;;9;;;;;;;;;1;;;;;;1;;;;
1995-04;6163;16;11;11;;3;;;;1;;;;;;10;;;;;;;;;2;;;;;;;;;;
1995-05;4504;28;6;6;;17;;;;;;;;;;6;;;;;;;;;5;;;;;;;;;;
1995-06;4803;19;7;7;;12;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;
1995-07;4348;6;0;0;;3;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;2
1995-08;5200;11;4;4;;4;1;;;1;;;;;;3;;;;;1;;;;;;;;;;;;;;1
1995-09;4861;4;3;3;;1;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;
1995-10;5645;3;0;0;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1995-11;5604;13;1;1;;10;;;;;;;;;;1;;;;1;;;;;1;;;;;;;;;;
1995-12;5441;9;5;5;;3;;;;;;;;;;;;;;1;1;;4;;;;;;;;;;;;
1996-01;7204;10;3;3;;5;;;;;;;;;;1;;2;;;1;;;;;;;;;;;;;;1
1996-02;6651;19;4;4;;8;;;;1;;;;;;2;;;;3;3;;;;2;;;;;;;;;;
1996-03;7209;15;4;4;;5;2;;;;;;;;;2;;;;;4;;;;2;;;;;;;;;;
1996-04;6903;36;4;4;;7;;;;;;;;;;4;;;;17;8;;;;;;;;;;;;;;
1996-05;7968;52;2;2;;10;1;;;;;;;;;;1;;;34;6;;;;;;;;;;;;;;
1996-06;7554;34;0;0;;4;2;;;;;;;;;;;;;25;3;;;;;;;;;;;;;;
1996-07;7657;22;6;6;;13;;;;;;;;;;1;;;;5;1;;;;1;;;;;;1;;;;
1996-08;8009;17;5;5;;5;1;;;;;;;;;4;;;;;4;;;;2;;;;;1;;;;;
1996-09;7345;11;3;3;;2;;;;;;;;;;2;;;;;7;;;;;;;;;;;;;;
1996-10;8883;12;4;4;;1;1;;;;;;;;;1;;;;;6;;;1;;;;;;;1;;;;1
1996-11;9076;23;6;6;;9;;;;;;;;;;3;;;;;7;;;2;;;;;;;;;;;2
1996-12;8319;24;5;5;;9;;;;;;;;;;1;4;;;;10;;;;;;;;;;;;;;
1997-01;9534;43;8;8;;9;3;1;;;;;;;;3;;;;;24;1;;;2;;;;;;;;;;
1997-02;9283;18;7;7;;1;1;2;;1;;;;;;1;;;;;10;2;;;;;;;;;;;;;
1997-03;9962;35;4;4;;7;;;;;;;;;;;;;;;24;3;;1;;;;;;;;;;;
1997-04;10499;34;12;12;;7;;;;;;;;;;;;;;;12;6;;5;4;;;;;;;;;;
1997-05;9362;23;15;15;;7;;;;;;;;;;1;;;;;2;9;;3;;;;;;1;;;;;
1997-06;8381;50;11;11;;25;;;;;;;;;;1;;;;;14;8;;1;;;;;;;;1;;;
1997-07;8807;40;9;9;;16;2;;;;;;;;;;;;;;14;7;;;;;;;;;;;;;1
1997-08;10412;41;6;6;;23;;;;2;;;;;;1;;;;;10;;;1;1;;;;;;;;;;3
1997-09;10818;39;11;11;;15;;;;;;;;;;5;;;;;18;;;;1;;;;;;;;;;
1997-10;10405;74;5;5;;49;;;;;;;;;;1;;;;;15;;;;1;;;;;;;;;;8
1997-11;10088;34;8;8;;19;1;;;;;;;;;;;;;;14;;;;;;;;;;;;;;
1997-12;7933;53;12;12;;23;;;;;;;;;;3;;;;;20;;;1;5;;;;;;;;;;1
1998-01;9681;67;15;15;1;10;;;;;;;;;;4;;;;;36;;;5;11;;;;;;;;;;
1998-02;11366;100;41;41;;21;;;;1;;;;;;5;;;;;38;;;18;14;;;;;;;;;;3
1998-03;13455;108;27;27;1;15;;;;;;;;;;13;;;;;65;;;3;8;;;;;;;;;;3
1998-04;13568;78;15;15;4;19;;;;7;;;;;;2;2;;;;25;;;7;11;;;;;;;;;;1
1998-05;14467;104;28;28;3;17;;;;1;;;;;;3;12;;;;62;;;4;2;;;;;;;;;;
1998-06;13709;106;36;36;1;22;;;;2;;;;;;3;11;;;;55;;;7;2;;;;;;;;;;3
1998-07;13603;93;29;29;;21;;;;;;;;;;12;1;;;;50;;;5;1;;;;;;;;;;3
1998-08;12933;91;23;23;6;19;;;;2;;;;;;3;;;;;57;;;2;1;;;;;;;;;;1
1998-09;14247;95;28;28;3;14;;1;;;;;;;;8;;;;;56;;;9;3;;;;;;;;;;1
1998-10;14871;104;23;23;6;13;;;;2;;;;;;1;1;;;;72;;;5;3;;;;;;;;;;1
1998-11;13892;95;25;25;5;34;;;;1;;;;;;4;;;;;44;;;2;3;;;2;;;;;;;
1998-12;13940;89;16;16;;17;;;;4;;;;;;5;;;;;49;;;5;2;;;1;;;;;;;6
1999-01;16310;124;23;23;5;14;;;;;;;;;;6;;;;;92;;;4;;;;;;;;;;;3
1999-02;12087;94;18;18;4;20;;2;;2;;;;;;4;1;;;;45;;;3;2;;;;;;;;;;11
1999-03;11246;76;19;19;2;10;;;;6;;;;;;6;4;;;;29;;1;2;1;;;1;;;;;;;14
1999-04;11054;75;26;26;4;9;;8;;4;1;;;;;5;;;;;24;;;1;4;;;1;;;;;;2;12
1999-05;11410;80;9;9;6;11;;;;10;;;;;;2;;;;;30;;1;;2;;;1;;;;;;;17
1999-06;9438;104;20;20;3;14;;;;4;;;;;;7;;;;;50;;;;2;;;1;;;;;;2;21
1999-07;9662;97;7;7;;11;;;;4;;;;;;2;;;;;58;;;;1;;;;;;;;;2;19
1999-08;10910;121;6;6;6;11;;;;6;;;;;;3;;;;;41;;;;1;;;;;;;;;;53
1999-09;11375;153;9;9;5;19;;;;4;;;;;;1;;;;;79;;;2;2;;;;;;;;;;41
1999-10;9138;142;11;11;5;32;;;;9;;;;;;4;;;;;57;;;;1;;;;;;;;;;34
1999-11;10070;143;24;24;12;10;;1;;4;;;;;;7;;;;;71;;;1;7;;;;;;2;;;;28
1999-12;10960;161;26;26;18;7;;;;4;;;;;;12;;2;;;56;;;;1;;;;;1;;;;;60
2000-01;12231;177;65;65;11;9;;;;2;;;;;;56;;;;;53;;;;;;;;;;;;;;46
2000-02;8027;155;33;28;7;9;;2;;;;;;;;22;6;;;;64;;;1;1;;;;;;;;;2;46
2000-03;12311;291;81;81;13;9;;;;2;1;;;;;53;;;;;127;;;;;;;;;2;;;;;84
2000-04;10613;246;62;62;21;12;;;;2;;;;;;25;;;;;102;;;;3;;;;;;;;;;81
2000-05;11177;307;111;111;73;14;;2;;4;;;;;;10;;;;;93;;;;3;;;;;3;;;;;105
2000-06;11927;324;67;66;63;13;;1;;3;1;;;;;8;;1;;;118;;;;3;;;;;;1;;;1;112
2000-07;13900;377;38;37;73;22;;;;12;;;;;;5;;;;;140;;;;1;;;;;9;;;;;116
2000-08;11514;348;41;41;77;24;2;;;2;;;;;;4;;;;;113;;;;2;;;;1;3;;;;;120
2000-09;11738;314;62;62;92;11;1;;;1;;;;;;6;;1;;;103;;;;1;;;;;13;1;;2;;82
2000-10;12729;384;66;64;104;34;;;;;;;;;;4;;;;;105;;;;1;;;;;15;;;;;123
2000-11;12386;311;52;52;93;8;8;;;;1;;;;;8;2;;;;69;;1;;2;;;;;18;;;;;101
2000-12;16785;390;88;88;73;41;1;;;;2;;;;;2;1;;;;128;;3;;1;;;1;;32;;;;;105
2001-01;15557;390;56;49;75;66;;;;1;15;;;;;6;;;;;112;;1;;;;;;5;10;;;;;106
2001-02;12457;363;56;55;65;28;;;;1;2;;;;;8;;;;;91;;;;1;;;;;6;;;;;162
2001-03;15514;507;102;102;145;22;;;;;3;;;;;5;;;;;148;;;;2;;;;;3;;;;;179
2001-04;12827;534;41;40;90;24;;;;1;;;;;;4;;;;;200;;;;;;;2;;5;;;;2;207
2001-05;13088;590;82;82;79;40;;;;1;3;;;;;7;;1;;;144;;2;;;;;5;;1;;;;;307
2001-06;13165;523;79;79;61;49;;;;9;5;;;;;5;;1;;;162;;;;;;;;;10;;;;;221
2001-07;13576;650;100;99;93;74;;;;5;2;;;;;13;;2;;;164;;1;;2;;;1;;5;3;1;;;285
2001-08;14194;632;75;73;56;23;1;;;6;;;;;;5;;;;;162;;1;3;;;;;;13;;;1;;363
2001-09;12478;588;82;82;78;23;;;;6;;;;;;7;;2;;;146;;3;1;;;;;;10;;;;;312
2001-10;12596;604;112;111;96;29;;;;3;1;;;;;4;;;;;136;;3;;;;;;;4;8;;;;323
2001-11;12659;646;151;150;82;99;;1;;2;2;;;;;1;;3;;;151;;2;;;;;;;4;1;;;;301
2001-12;13608;579;87;83;93;35;;6;;6;3;;;;;5;;;;;123;;;;;;;;;7;2;;;;303
2002-01;14568;613;52;50;75;33;;1;;3;1;1;;;;5;;;;;148;;;;1;;1;;;3;4;;;;339
2002-02;13169;627;86;82;82;25;;1;;8;1;3;;;;2;;;;;185;;1;;;;;;;3;5;;;;315
2002-03;15905;795;84;83;99;14;;;;18;;;;;;8;;;;;193;;2;1;;;1;;1;2;;;;;459
2002-04;14778;636;109;102;113;14;1;3;;8;5;;;;;3;;;;;145;;;1;;;;;7;5;2;;;3;336
2002-05;15043;487;117;114;88;16;1;;;17;16;;1;;;7;;1;;;124;;3;4;;;;;1;4;1;;;;212
2002-06;14711;744;217;212;152;40;1;2;;16;10;1;;;;2;;;;;127;;1;10;;;3;;;1;11;;;;376
2002-07;14586;746;181;166;184;37;1;;;13;6;;2;;;4;;;;;179;;2;4;1;;;;;24;4;;;1;303
2002-08;13290;584;74;65;117;16;2;;;23;;;;;;3;2;;;;126;;;4;1;;;;;2;;;;;298
2002-09;12412;473;59;56;72;18;;;;21;6;;;;;3;;;;;154;;;1;3;;;;;3;;;;;196
2002-10;14334;509;45;45;71;5;;;;9;10;;2;;;8;;;;;133;;1;;3;;;;;;1;;;;268
2002-11;12379;506;123;119;83;20;1;1;;46;12;;;;;6;;;;;111;;2;;1;;;;;;5;;;;223
2002-12;9421;549;89;84;70;24;;;;48;13;;;;;1;;;;;194;;;;3;;;;;;1;;;;213
2003-01;13165;486;58;58;110;5;;;;43;2;;1;;;1;;1;;;144;;;1;;;;;;3;3;;;;173
2003-02;14305;602;114;114;91;14;;;;51;5;;2;;;1;;2;;;223;;;;1;;;;;;;;;;213
2003-03;12951;617;76;73;115;27;2;;;51;3;;;;;;1;;;;202;;1;;1;;;;;1;;;;;217
2003-04;19927;943;115;110;239;48;3;;;68;6;;5;;;1;;1;;;238;;;4;3;;;;;;;;;;333
2003-05;19087;906;147;147;216;28;;;;110;7;;2;;;5;;;;;215;;;2;;;;;;;7;;;;314
2003-06;18648;819;126;123;228;15;1;;;104;7;;8;;;1;;;;;123;;;;1;;;;;7;;;;;327
2003-07;19001;1069;298;280;235;16;;;;130;6;;222;;;11;1;;;;165;;5;;1;;;;;7;4;;;;284
2003-08;17551;994;304;286;209;22;1;;;75;5;;268;;;7;;;;;135;;;;2;;;;;4;3;1;;;280
2003-09;17387;1080;343;333;218;13;;;;79;3;;286;;;1;;;;1;148;;;1;;;1;;;1;1;;;2;335
2003-10;18652;909;278;275;143;9;;;;58;10;;173;;;2;1;;;;129;;;;1;;;;;8;29;1;;;348
2003-11;18778;926;312;306;177;6;;;;52;21;;214;;;;;;;;160;;2;1;;;1;;;2;1;;;1;294
2003-12;16227;927;266;266;133;20;;;;91;3;;170;;;7;;;;;142;;1;;2;;2;;;7;;;;;349
2004-01;20785;1222;420;416;221;12;;;;58;6;;306;1;;2;1;3;;;214;;;2;;;5;;;1;9;;;;385
2004-02;20274;1105;455;455;235;11;1;;;85;12;;325;;;3;;;;;148;;2;1;4;;2;1;;2;3;;;;270
2004-03;22686;1179;458;458;160;7;2;;;91;21;;348;;;2;3;;;;129;;14;;4;;5;;;7;15;;1;1;369
2004-04;16867;923;325;323;123;9;;;;106;28;;242;;;2;1;6;;;138;;;;11;;1;;;5;2;;;;251
2004-05;16409;937;351;345;224;17;;;;50;19;;201;;;3;;17;;;122;;;;4;;;;;8;;;;;278
2004-06;17813;1087;443;443;195;8;;;;41;7;;247;;;3;2;108;;;106;;1;2;2;;;;;15;2;;;;348
2004-07;18669;1110;366;366;175;7;;;;21;10;;163;;;2;10;263;;;80;;;;2;;5;;2;1;;;;;369
2004-08;19952;1200;364;364;183;9;;5;;24;13;1;166;;;3;6;293;;;96;;;;;;7;;;5;1;;;;388
