Date;Total Mails;Total Detected;Hidden Partial;Hidden Full;1and1;AOL;AdobeMarketingCloud;Amazon;AppRiver;Apple;CenturyLink;Cisco;Comcast;Epsilon;ExperianMarketingServices;Fujitsu;GoDaddy;Google;MAXMailProtection;McAfee;Microsoft;Mimecast;NTT Communications;OVH;Oracle;Proofpoint;Rackspace;Salesforce;SoftLayer;Strato;Symantec;TrendMicro;VMware;Virtustream;Yahoo
1987-06;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992-12;4;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993-01;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993-02;9;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993-03;16;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993-04;3;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993-05;5;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993-06;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993-07;9;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993-08;2;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993-09;3;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993-10;4;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993-11;13;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993-12;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994-01;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994-02;2;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994-03;5;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994-04;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994-05;3;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994-06;2;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994-07;2;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994-08;4;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994-09;7;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994-11;10;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994-12;7;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995-01;2;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995-02;3;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995-03;22;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995-04;27;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995-05;15;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995-06;5;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995-07;21;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995-08;3;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995-09;8;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995-10;4;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995-11;8;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995-12;4;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996-01;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996-02;24;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996-03;25;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996-04;18;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996-05;19;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996-06;45;1;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
1996-07;19;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996-08;11;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996-09;5;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996-10;82;5;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996-11;73;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996-12;29;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997-01;9;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997-02;8;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997-03;164;19;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997-04;152;17;3;3;;2;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
1997-05;103;7;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997-06;74;19;2;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997-07;121;13;2;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997-08;87;9;5;5;;3;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;
