Date;Total Mails;Total Detected;Hidden Partial;Hidden Full;1and1;AOL;AdobeMarketingCloud;Amazon;AppRiver;Apple;CenturyLink;Cisco;Comcast;Fujitsu;GoDaddy;Google;MAXMailProtection;McAfee;Microsoft;Mimecast;NTT Communications;OVH;Oracle;Proofpoint;Rackspace;SoftLayer;Strato;Symantec;VMware;Virtustream;Yahoo
2006-05;17;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006-06;9073;1014;34;34;5;1;;;;;;;;;;25;;;;;;;;;;;2;;;;1
2006-07;6873;815;28;28;1;;;;;;;;;;;24;;;;;;;;;;;3;;;;
2006-08;2995;324;133;133;111;2;;;;;;;;;1;9;;;;;;;;;;;2;;;;8
2006-09;7507;403;101;101;83;;;;;;;;;;4;4;;;;;;;;;;;4;;;;6
2006-10;12349;382;91;91;69;;;1;;;;;;;;8;;;;;;;;;;;;;;;13
2006-11;24372;2316;536;534;236;8;;;;;;;3;23;6;42;;;1;;;;;;;;73;6;;;139
2006-12;18753;3194;790;789;320;16;;;;;;;5;5;6;85;;;2;;;;;;;;152;6;;;198
2007-01;21309;3130;813;812;297;20;;;;;;;53;6;4;36;;;1;;;;;;;;158;2;;;243
2007-02;16915;2630;691;691;256;13;;;;;;;20;2;16;38;;;;;;;;;3;;184;4;;;156
2007-03;16722;2775;749;748;312;19;;;;;1;;55;1;5;57;;20;;;;;;;;;129;1;;;153
2007-04;15278;2653;665;665;224;6;;;;;6;;60;21;2;88;;9;;;;;;;;;57;;;;192
2007-05;15556;2654;789;787;272;6;;;;;5;;19;11;3;153;;5;1;;;;;;;;116;1;;;200
2007-06;10422;1210;259;259;129;;;;;;1;;4;2;1;30;;;;;;;;;;;82;;;;10
2007-07;14037;1787;522;522;167;16;;;;;;;25;2;14;80;;;;;;;;;9;;86;1;;;122
2007-08;25793;2331;647;645;129;4;;;;;2;;19;;14;129;;1;3;;;2;;;4;;190;;;;150
2007-09;23874;2320;631;631;207;15;;;;;;;18;;34;71;;;;;;;;;;;174;5;;;107
2007-10;26507;3835;906;903;235;18;;;;;;;9;;62;102;;2;;;;1;;;;;250;3;;;224
2007-11;20521;3099;806;806;353;13;;;;;;;;5;32;88;;1;;;;;3;;;;112;5;;;194
2007-12;15060;2587;651;651;263;12;;;;;1;;;;60;76;;;;;;;;;1;;91;4;;;144
2008-01;17482;2946;820;819;401;8;;;;;;;;2;46;93;;3;2;;;;;;;;127;3;;;135
2008-02;18646;2653;791;791;276;1;;;;;2;;;2;52;204;;3;;;;;;;;;82;4;;;165
2008-03;18780;2170;592;592;222;7;;;;;;;;;40;189;;1;5;;;;;;;;55;2;;;71
2008-04;25930;2630;715;715;134;9;;;;;;;;1;25;340;;2;1;;;11;;;;;98;1;;;93
2008-05;29590;2706;518;518;122;13;;;;;1;;;4;30;175;;;1;;;1;;;;;65;3;;;103
2008-06;26847;3313;778;778;233;20;;;;;;;;;33;256;;;;;;8;1;;;;61;2;;;164
2008-07;22193;2724;760;756;164;14;;;;;;;;14;24;281;;;1;;;12;;;;;89;3;;;158
2008-08;15814;2574;617;617;152;12;;;;;;;;;32;243;;;;;;23;;;;;67;3;;;85
2008-09;18823;2590;631;631;153;3;;;;;;;;6;23;278;;;;;;30;;;;;67;1;;;70
