Date;Total Mails;Total Detected;Hidden Partial;Hidden Full;1and1;AOL;AdobeMarketingCloud;Amazon;AppRiver;Apple;CenturyLink;Cisco;Comcast;Fujitsu;GoDaddy;Google;MAXMailProtection;McAfee;Microsoft;Mimecast;NTT Communications;OVH;Oracle;Proofpoint;Rackspace;SoftLayer;Strato;Symantec;VMware;Virtustream;Yahoo
2006-05;17;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006-06;9073;1014;34;34;8;1;;;;;;;;;;901;;;;;;;;;;;2;;;;102
2006-07;6873;815;28;28;9;;;;;;;;1;;;692;;;2;;;;;;;;3;;;;108
2006-08;2995;324;133;133;149;2;;;;;;;2;;1;147;;;;;;;;;;;2;;;;21
2006-09;7507;403;101;101;145;;;;;;;;3;;4;234;;;;;;;;;;;4;;;;13
2006-10;12349;382;91;91;122;;;1;;;;;4;;;229;;;;;;;;;;;;;;;26
2006-11;24372;2316;536;534;694;8;;;;;;;42;23;6;1163;;;11;;;2;;;;;73;6;;;291
2006-12;18753;3194;790;789;945;17;;;;;2;;119;5;6;1523;;;50;;;;1;;;;152;6;;;374
2007-01;21309;3130;813;812;821;20;;;;;;;159;6;4;1477;;;22;;;;;;;;158;2;;;469
2007-02;16915;2630;691;691;892;14;;;;;1;;68;2;16;1137;;;12;;;;2;;3;;184;4;;;296
2007-03;16722;2775;749;748;938;19;;;;;1;;90;1;5;1281;;20;7;;;;;;;;129;1;;;288
2007-04;15278;2653;665;665;649;7;;;;;6;;108;21;2;1499;;9;27;;;;;;;;57;;;;268
2007-05;15556;2654;789;787;760;6;;;;;5;;107;11;3;1317;;5;36;;;;;;;;116;3;;;290
2007-06;10422;1210;259;259;524;;;;;;1;;32;2;1;499;;;10;;;;;;;;82;4;;;55
2007-07;14037;1787;522;522;619;16;;;;;;;78;2;14;790;;;12;;;;1;;9;;86;1;;;159
2007-08;25793;2331;647;645;555;4;;;;;2;;117;;14;1172;;1;11;;;2;;;4;;190;;;;261
2007-09;23874;2320;631;631;581;15;;;;;;;62;;34;1254;;;6;;;;;;;;174;5;;;189
2007-10;26507;3835;906;903;826;18;3;;;;;;66;;62;2144;;2;16;;;1;;;;;250;4;;;446
2007-11;20521;3099;806;806;893;13;;;;;;;9;5;32;1656;;1;36;;;;3;;;;112;5;;;334
2007-12;15060;2587;651;651;788;12;;;;;1;;;;60;1332;;;2;;;;;;1;;91;4;;;297
2008-01;17482;2946;820;819;971;8;;;;5;;;;2;46;1477;;3;17;;;;;;;;127;3;;;288
2008-02;18646;2653;791;791;729;1;;;;1;2;;;2;52;1443;;3;14;;;;;;;;82;4;;;320
2008-03;18780;2170;592;592;553;7;;;;1;;;;;40;1359;;1;5;;;;;;;;55;2;;;147
2008-04;25930;2630;715;715;462;9;;;;2;;;;1;25;1854;;2;19;;;11;;;;;98;1;;;146
2008-05;29590;2706;518;518;539;13;;;;2;1;;;4;30;1782;;;68;;;1;;;;;65;3;;;198
2008-06;26847;3313;778;778;666;21;;;;1;;;;;33;2175;;;58;;;8;3;;;;61;2;;;285
2008-07;22193;2724;760;756;500;14;;;;10;;;;14;24;1633;;;55;;;12;3;;;;89;5;;;369
2008-08;15814;2574;617;617;490;12;;;;6;;;;;32;1733;;;20;;;23;3;;;;67;8;;;180
2008-09;18823;2590;631;631;614;3;;;;2;;;;6;23;1631;;;3;;;30;1;;;;67;1;;;209
2008-10;24464;2819;665;665;522;11;;;;5;2;;;;16;1964;;;1;;;9;;;;;40;2;;;247
2008-11;27361;2982;632;631;684;12;;;;;6;;;5;28;1891;;;;;;10;;;;;61;;;;286
