Date;Total Mails;Total Detected;Hidden Partial;Hidden Full;AOL;AdobeMarketingCloud;Amazon;AppRiver;Apple;CenturyLink;Cisco;Comcast;Epsilon;ExperianMarketingServices;Fujitsu;GoDaddy;MAXMailProtection;McAfee;Microsoft;Mimecast;NTT Communications;OVH;Oracle;Proofpoint;Rackspace;Salesforce;SoftLayer;Strato;Symantec;TrendMicro;VMware;Virtustream;Yahoo
2007-02;396;6;6;6;1;;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;2
2007-03;68996;1335;1211;1211;143;9;121;9;12;52;;;;;44;285;1;34;103;;34;86;10;1;19;2;;45;42;;;61;114
2007-04;84466;1828;1369;1362;256;9;111;17;17;108;;;;1;47;350;;30;81;;43;58;8;3;20;1;;31;62;;;;154
2007-05;108137;2089;1818;1816;373;6;229;9;12;330;1;9;;4;123;81;3;46;110;;135;62;27;1;37;16;;49;51;;2;1;118
2007-06;29090;698;503;503;72;3;39;10;6;23;;2;;1;41;53;;27;30;;18;26;5;1;12;6;;16;51;;;;65
2007-07;37277;1556;1287;1287;147;1;55;22;1;131;;1;;3;33;221;18;82;83;;57;34;15;2;32;3;;23;103;;;;222
2007-08;41395;1978;1628;1628;153;2;30;30;2;42;;;;1;40;420;18;112;76;2;52;44;16;3;22;4;1;33;130;;;1;399
2007-09;29480;1257;1084;1082;84;1;13;14;2;47;;;1;1;31;397;9;84;9;1;30;18;12;3;12;9;1;22;29;;;;259
2007-10;23117;1175;882;881;40;;5;17;;16;;2;;;38;229;11;101;40;1;9;24;6;;20;2;;22;101;1;1;;200
2007-11;20997;1714;1106;1105;138;4;24;47;3;9;;;;;15;386;18;41;28;1;6;7;8;1;11;;;29;92;;;;242
2007-12;20038;1621;1294;1294;41;2;24;39;3;20;;;;1;9;620;15;63;29;1;6;24;3;;28;2;;31;114;;;1;220
2008-01;22686;3581;1746;1741;32;1;15;39;3;13;;;2;;27;1023;11;49;27;;4;12;5;1;19;;2;78;78;1;;3;305
2008-02;366133;2496;1991;1893;8;;2;32;;860;;;;;7;562;10;29;110;;1;8;7;;11;;46;44;62;;;;194
2008-03;556889;5262;4799;4799;9;;;44;;1305;;;;;13;890;7;54;1917;;;8;2;5;1926;;70;69;71;1;;;312
2008-04;355394;1785;1650;1649;7;;4;36;;527;;;;;44;631;2;32;13;;;19;4;;15;;25;46;46;;;1;199
2008-05;76560;1073;901;901;14;1;10;44;;42;;;;;3;420;3;22;5;;1;22;5;1;21;;55;11;45;;;;178
2008-06;49296;1078;1006;1006;4;;2;43;;65;;;;;14;522;8;33;10;;1;31;5;3;18;;;16;43;5;;;184
2008-07;59536;845;758;758;13;;9;41;1;139;;;;;13;292;5;25;5;2;;29;4;2;13;;;25;33;;;;111
2008-08;52329;631;549;549;3;;;28;;208;;;;;5;139;2;30;4;;2;8;1;3;12;;;3;34;1;;;66
2008-09;54312;361;313;313;1;;;27;;51;;;;;8;69;4;30;14;1;2;8;3;1;8;;8;13;25;2;1;;37
2008-10;48740;332;277;277;7;;;24;;42;;;;;7;57;4;14;20;;;3;5;;5;;;37;18;1;;;33
2008-11;11721;350;285;284;18;;1;32;;82;;;;;;55;1;21;13;;;8;3;;6;;;2;18;;;;25
2008-12;9219;201;136;136;16;;;9;;1;;;;;;27;;10;11;;;2;4;1;7;;;5;13;;;;30
2009-01;10901;253;188;188;18;;1;11;;2;;;1;;;44;;10;4;1;1;19;3;;1;;4;7;27;;;;34
2009-02;27546;1285;1235;1235;6;;1;1;;;;;;;1;19;1;5;1;3;;702;8;;3;;83;370;13;;;;18
2009-03;96142;3324;2920;2920;17;;2;20;;1;;;2;;3;41;2;13;15;;;1769;10;2;2;;670;183;21;94;;;53
2009-04;85006;5726;5456;5456;2;;;6;;411;;;;;6;24;;8;2;1;;4874;5;;3;;;37;10;29;;;38
2009-05;140099;1335;1211;1211;15;;;18;;72;;;;;3;25;;13;1;;;902;4;1;1;;21;25;9;65;;;36
2009-06;53825;671;593;593;9;;;9;;7;;;;;;23;3;5;;1;;268;3;1;27;;28;189;11;;;;9
2009-07;100275;7618;7499;7497;6;1;1;5;;22;;;;;1;12;;3;;;;7294;6;;2;;66;72;3;;;;5
2009-08;84174;1362;1312;1311;3;;149;1;;5;;;;;2;45;1;3;3;1;;929;4;;2;;64;95;1;;;;4
2009-09;85313;10913;8138;8138;5;;16;5;;2;;;;;1;31;1;2;4;;;7695;6;;3;;348;7;1;;;;11
2009-10;98029;6931;5274;5274;7;;37;6;;117;;;;;;7;;3;1;;1;3940;4;;7;;264;864;4;2;;;10
2009-11;443370;65942;64485;64485;10;;;1;;;;1;;;1;12;;2;4;;;60790;2;;4;;2504;1139;4;;;;11
2009-12;476162;79488;79376;79376;7;;62;7;;;;;;;3;23;1;5;15;;1;73868;2;;979;;4295;90;5;;;;13
2010-01;487203;35866;35387;35355;9;;9;8;;111;;;;;14;58;4;10;6;;;34769;2;;7;;296;55;11;1;;;17
2010-02;106347;4397;4141;4140;17;;7;3;1;6;;;;;6;99;;1;9;;2;3907;2;;9;1;2;40;5;;;;26
2010-03;60035;1398;607;607;6;;13;3;1;6;;;;;6;116;;1;31;;6;302;6;1;1;;3;45;3;1;;;56
2010-04;45481;535;335;335;;;1;1;;3;;;;;3;61;;1;1;;1;161;4;1;5;;1;49;3;;;;39
2010-05;151269;609;216;216;7;;5;1;1;8;;;;;5;50;;1;5;1;1;28;4;;3;1;1;38;2;;1;;53
2010-06;47998;807;276;273;14;;9;8;;9;;;;;1;96;1;4;5;;1;37;4;1;5;;3;36;2;1;;;39
2010-07;76678;1334;700;696;22;1;5;6;2;36;;;;;4;128;;1;3;;4;276;3;;6;;;40;5;;;;158
2010-08;87364;2638;1723;1723;5;;9;5;;7;;;;;12;88;;7;12;;6;1359;6;;12;;4;48;5;2;1;;136
2010-09;218917;7409;6453;6451;18;;6;9;2;9;;1;;;5;22;;2;7;;2;6243;10;;5;;4;31;7;;;;70
2010-10;74038;6596;5973;5971;12;;6;2;;9;;;;;4;161;;1;7;1;2;5499;4;1;5;;67;28;;2;;;170
2010-11;96975;19827;3158;3071;10;2;23;8;1;7;;;;;13;182;;2;23;;49;1700;18;;16;;19;16;2;2;;1;1074
2010-12;138623;7450;6225;6225;124;1;112;139;8;13;3;22;;2;24;203;44;29;82;4;34;4179;9;50;328;3;497;20;58;7;1;;229
2011-01;112946;9205;6545;6469;225;;99;;8;7;;;;;13;306;;50;84;;26;3992;8;118;743;2;272;122;85;1;;130;255
2011-02;114135;6308;4458;4372;152;;13;727;1;6;1;;1;;9;376;11;119;289;35;7;885;31;149;389;;201;73;332;181;;2;470
2011-03;178030;11159;9347;9304;84;;27;875;;4;;;;;3;356;16;142;308;50;5;5051;32;124;377;2;747;87;389;200;;2;468
2011-04;74822;5045;4828;4817;22;;2;33;1;15;;;;;2;49;3;8;23;1;;2476;6;6;18;3;2039;21;28;10;;2;61
2011-05;94771;2460;1317;1287;57;;7;111;6;15;;;;;2;238;16;54;96;8;1;140;7;61;70;16;5;33;149;47;;1;178
2011-06;13422;694;558;556;10;;5;47;;2;;;;;6;69;10;20;29;4;;172;;7;23;4;;10;43;22;;;75
2011-07;102190;4605;4554;4554;6;;;2;;;;;;;;9;2;;;;;3887;2;;2;;506;61;;2;;;75
2011-08;55628;5504;5104;5104;2;;1;;;1;;;;;5;7;;1;3;;;1123;2;1;4;;3810;10;1;;;;133
2011-09;82413;3067;2964;2964;9;;9;;;5;;;;;;5;;1;7;;;2388;8;;3;;464;;;;;;65
2011-10;153870;4984;4960;4960;7;;4;;;1;;;;;115;9;;;1;;;4412;2;;4;;243;111;2;;;;49
2011-11;103607;3054;2862;2858;4;;3;1;;17;;;;;3;;;;4;;1;2436;6;;3;;367;8;;;;;9
2011-12;44295;1636;1618;1618;;;2;1;;;;;;;;1;;;4;;;1486;6;;3;;109;5;;;;;1
2012-01;86200;1324;1304;1304;2;;49;;;;;;;;;10;;;1;;;1115;8;1;;;22;75;18;;;;4
2012-02;121035;12993;12953;12953;;;249;;;117;;;;;63;7;;;1;;;10254;12;;196;1;1169;874;;;;;10
2012-03;19152;562;342;342;31;;7;;;5;;;;;;1;;;;;;229;8;;3;;41;10;;;2;;5
2012-04;7882;357;324;324;;;;;;;;;;;5;1;;;;;;160;4;;1;;;15;;;;;138
2012-05;10528;530;517;517;;1;4;;;9;;;;;7;3;;;166;;5;285;8;;1;;;3;2;2;;;21
2012-06;14799;1587;1552;1552;1;;1;;;3;2;;;;8;5;;;25;;;1430;10;;;;;12;;;;;56
2012-07;11264;994;964;963;6;;30;;;14;;;;;2;5;;;2;;;840;6;;1;;2;12;;;;;44
2012-08;9919;1040;936;935;;;3;2;;47;;;;;1;13;5;2;7;;;792;4;2;3;;1;13;13;1;;;28
2012-09;849;280;244;244;;;;;;;;;;;;;;;;;;214;;;2;;;;;;;;28
2012-10;1117;262;230;230;;;;;;;;;;;;;;;1;;;189;;;;;;;;;;;40
2012-11;601;8;8;8;;;1;;;;;;;;;;;;1;;;1;;1;;;;;;;;;4
2012-12;848;65;64;64;1;;1;;;;;;;;;;;;1;;;1;;;1;;;;;;;;59
2013-01;30872;112;90;90;2;;4;1;;;;;;;;1;;1;5;;;51;2;;2;;4;5;;;;;16
2013-02;30442;798;101;101;;;5;;;1;;;1;;3;4;;;3;;4;18;4;;;;2;19;;;;;40
2013-03;33407;222;201;201;1;;9;;;2;;;6;;2;;;;9;;;98;10;;2;;2;4;49;;;;7
2013-04;50257;230;213;213;1;;3;;;;;;1;;;7;;;175;;;10;10;;1;;;2;;;;;4
2013-05;44059;80;47;47;;;2;;;;;;1;;;3;;;2;;1;26;4;;;;4;4;;;;;
2013-06;43171;54;44;44;6;;1;;;1;;;1;;;;;;5;;;12;10;;;;2;2;;;;;4
2013-07;67461;61;53;53;1;;6;;;4;;;1;;3;1;;;9;;;14;6;;;1;;7;;;;;1
2013-08;37706;47;44;44;2;;4;;1;;;;1;;;2;;;2;;5;1;6;;;;3;13;1;;;;3
2013-09;100991;1164;1159;1159;;;7;;;1;;;1;;1;2;;;1121;;2;5;10;;;;;6;;1;;;2
2013-10;46562;113;107;107;1;;2;;;4;;;1;;;;;;24;;3;44;6;;;;1;19;;;;;2
2013-11;43956;3899;65;65;1;;1;;;7;1;;3;;;;;;6;;1;5;8;3;30;;1;1;;;;;1
2013-12;28233;16;14;14;2;;;;;;;;2;;;1;;;4;;1;3;;;;;;1;;;;;
2014-01;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-04;16;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-05;141;2;2;2;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;
2014-07;2109;92;67;67;2;;2;;;;;;;;1;5;;;4;;24;6;2;;1;;;2;;;;;19
2014-08;2961;137;96;96;6;;3;;;1;;;;;;;;;13;;7;38;3;;;;1;;2;;;;22
2014-09;2356;123;85;85;;;2;;;2;;;;;;5;;;9;;4;25;4;;2;;;13;;;;;19
2014-10;14089;864;826;826;7;;346;;;1;;;;;1;114;;;30;;2;128;4;;8;;;38;;7;;;144
2014-11;6097;166;154;154;;;10;;;;;;;;;4;;;10;;2;52;8;;;;;61;1;;;;6
2014-12;2433;70;47;47;1;;7;;;;;;;;;2;;;11;2;;9;6;;1;;;1;;;;;7
2015-01;4017;2573;2563;2562;;;1;;;;;;;;;;;;4;1;;2544;8;;;;;;;;;;5
2015-04;6;6;6;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-06;9112;632;632;632;;;11;;;2;;;;;;173;;;2;;;306;2;;2;9;;125;;;;;
2015-07;44580;5817;5811;5811;1;;26;;;;;;;;9;472;;;3;;1;4981;4;;3;31;24;243;;;;;13
2015-08;13881;1128;1125;1125;;;13;;;;;;;;;932;;;3;;;137;6;;1;15;;13;2;;;;3
2015-09;6617;1109;1104;1104;;;18;;;;;;;;;;;;9;;;1036;8;1;;3;;21;1;;;;7
2015-10;1333;83;79;79;2;;15;;;;;;;;;;;;43;;2;5;5;;;2;;1;;;;;6
2015-11;1510;57;54;54;;;17;;;;;;1;;;;;;19;;;;6;;;7;;1;;;;;3
2015-12;2307;71;68;68;1;;11;;;;;;1;;;;;;18;;7;1;6;;;19;;1;;;;;3
2016-01;4303;98;81;81;;;8;;;1;;;;;;;;1;8;;;1;2;;;4;;48;;;;;8
2016-02;6709;81;74;74;;;6;;;;;;;;;;;;4;;6;4;6;;;19;;27;;;;;2
2016-03;41879;74;69;69;;;9;;;;1;;;1;1;;;;12;;5;1;;;;1;;36;;;;;4
2016-04;5893;50;44;44;;;9;;;;;1;;;1;1;;1;9;;5;9;;;;;;1;;1;;;6
2016-05;11701;42;29;29;;;10;;;;;;;;;1;;;3;;3;2;;;;;;3;;;;;7
2016-06;42167;57;41;41;2;;8;;;;;;2;;1;;;;6;;9;5;;;;;;2;;;;;8
2016-07;110921;2952;2943;2943;1;;11;;;;;;2;;;;;;4;;16;2907;;;2;1;;;;;;;
2016-08;30942;92;84;84;;;11;;;;;2;;;;1;;;;;48;19;;;2;;;;;;;;2
2016-09;31065;40;23;23;;;9;;;;;;1;;;1;;;2;;7;;;1;1;;;2;;;;;1
2016-10;62447;2862;2851;2851;;;12;;;;;;;;;;;;1;;5;2827;;;1;1;;1;1;;;;4
2016-11;41624;44;41;41;;;9;;;1;;;5;;;;;;4;;7;13;;;1;1;;;;;;;1
