Date;Total Mails;Total Detected;Hidden Partial;Hidden Full;AOL;AdobeMarketingCloud;Amazon;AppRiver;Apple;CenturyLink;Cisco;Comcast;Epsilon;ExperianMarketingServices;Fujitsu;GoDaddy;MAXMailProtection;McAfee;Microsoft;Mimecast;NTT Communications;OVH;Oracle;Proofpoint;Rackspace;Salesforce;SoftLayer;Strato;Symantec;TrendMicro;VMware;Virtustream;Yahoo
2007-02;396;6;6;6;1;;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;2
2007-03;68996;1335;1211;1211;149;9;121;9;15;67;;2;;;44;285;1;34;113;;34;86;10;1;19;2;;45;42;;;61;202
2007-04;84466;1828;1369;1362;271;9;111;17;38;182;;1;;1;48;350;;30;102;;43;58;11;3;20;1;;31;62;;;;484
2007-05;108137;2089;1818;1816;392;6;230;9;30;405;1;14;;4;123;81;3;46;127;;135;62;28;1;37;16;;49;51;;2;1;255
2007-06;29090;698;503;503;76;3;39;10;20;25;;2;;1;41;53;;27;67;;18;26;5;1;12;6;;16;51;;;;203
2007-07;37277;1556;1287;1287;158;1;56;22;9;145;;2;;3;33;221;18;82;165;;57;34;17;2;32;3;;23;103;;;;372
2007-08;41395;1978;1628;1628;163;3;30;30;15;53;;1;;1;42;420;18;112;176;2;52;44;16;3;22;4;1;33;130;;;1;611
2007-09;29480;1257;1084;1082;91;1;13;14;11;48;;;1;1;34;397;9;84;75;1;30;19;12;3;12;9;1;23;29;1;;;345
2007-10;23117;1175;882;881;47;1;5;17;12;22;;2;;;42;229;11;101;159;1;9;24;6;;20;2;;22;101;2;1;;344
2007-11;20997;1714;1106;1105;141;6;24;47;36;9;;;;;39;386;18;41;349;1;6;8;8;1;11;;;29;93;;;;466
2007-12;20038;1621;1294;1294;43;13;24;39;8;20;;;;1;16;620;15;63;195;1;6;25;4;;28;2;;31;114;;;1;354
2008-01;22686;3581;1746;1741;123;2;16;39;4;13;;;2;;27;1023;11;49;531;;4;18;5;1;19;2;2;80;78;1;;3;1537
2008-02;366133;2496;1991;1893;50;1;2;32;;860;;;;;7;562;10;29;281;;1;8;7;;11;;46;44;62;;;;583
2008-03;556889;5262;4799;4799;46;1;;45;5;1306;;;;;14;890;7;54;2062;;;9;2;5;1926;;70;69;71;1;;;583
2008-04;355394;1785;1650;1649;21;;4;36;;528;;;;;44;631;2;32;42;;;20;4;;15;;25;47;46;;;1;289
2008-05;76560;1073;901;901;22;1;10;44;2;43;;;;;3;420;3;22;44;;1;22;5;1;21;;55;13;45;;;;298
2008-06;49296;1078;1006;1006;5;;2;43;;65;;;;;14;522;8;33;51;;1;31;5;3;18;;;16;44;5;;;213
2008-07;59536;845;758;758;13;1;10;41;1;139;;;;;13;292;5;25;45;2;;29;5;2;13;;;25;33;;;;155
2008-08;52329;631;549;549;4;;;28;1;208;;;;;6;139;2;30;39;;2;9;1;3;12;1;;3;34;1;;;108
2008-09;54312;361;313;313;4;;;27;4;51;;;;;8;69;4;30;27;1;2;8;3;1;8;;8;14;25;2;1;;64
2008-10;48740;332;277;277;8;;;24;1;42;;;;;7;57;4;14;50;;;3;5;;5;;;37;18;1;;;56
2008-11;11721;350;285;284;19;2;1;32;2;82;;;;;;55;1;21;41;;;8;3;;6;;;2;18;;;;58
2008-12;9219;201;136;136;21;1;;9;;1;;;;;;27;;10;45;;;2;4;1;7;;;5;13;;;;55
2009-01;10901;253;188;188;24;5;1;11;;2;;;1;;;44;;10;21;1;1;19;3;;1;;4;7;28;;;;70
2009-02;27546;1285;1235;1235;7;5;1;1;;;;;;;2;19;1;5;22;3;;703;8;;3;;83;370;13;;;;39
2009-03;96142;3324;2920;2920;19;11;2;20;;1;;;2;;3;41;2;13;38;;;2118;10;2;2;;670;183;21;94;;;72
2009-04;85006;5726;5456;5456;6;16;;6;1;411;;;;;6;24;;8;12;1;;5095;5;;3;;;37;10;29;;;56
2009-05;140099;1335;1211;1211;42;14;;18;1;72;;;;;3;25;;13;42;;;903;4;1;1;;21;25;9;65;;;76
2009-06;53825;671;593;593;21;15;;9;;7;;;;;;23;3;5;26;1;;269;3;1;27;;29;189;11;;;;32
2009-07;100275;7618;7499;7497;11;9;1;5;;23;;;;;1;12;;3;25;;;7342;6;;2;;66;72;3;;;;39
2009-08;84174;1362;1312;1311;18;11;149;1;;6;;;;;2;45;1;3;15;1;;929;4;;2;;64;95;1;;;;16
2009-09;85313;10913;8138;8138;29;16;16;5;;7;;;;;1;31;1;2;267;;;8973;6;;3;;1380;7;1;;;;168
