Date;Total Mails;Total Detected;Hidden Partial;Hidden Full;1and1;AOL;AdobeMarketingCloud;Amazon;AppRiver;Apple;CenturyLink;Cisco;Comcast;Epsilon;ExperianMarketingServices;Fujitsu;GoDaddy;Google;MAXMailProtection;McAfee;Microsoft;Mimecast;NTT Communications;OVH;Oracle;Proofpoint;Rackspace;Salesforce;SoftLayer;Strato;Symantec;TrendMicro;VMware;Yahoo
2009-11;3;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-02;1;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-07;24;19;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-08;456;204;8;8;;;;;;;;;;;;;;5;;;3;;;;;;;;;;;;;
2010-09;130;79;9;9;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;
2010-10;19;14;1;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
2010-11;29;17;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-12;532;90;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-01;788;180;5;5;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;4
2011-02;231;141;11;11;;;;;;;;;;;;;;8;;;2;;;1;;;;;;;;;;
2011-03;650;536;10;10;;;;;;;;;;;;;;4;;;6;;;;;;;;;;;;;
2011-04;425;188;10;10;;;;;;;;;;;;;;;;;3;;;;;;2;;4;;;;;1
2011-05;252;111;3;3;;;;;;;;;;;;;;1;;;2;;;;;;;;;;;;;
2011-06;306;131;2;2;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;
2011-07;158;83;6;6;;;;;;;;;1;;;;;2;;;1;;;;;;;;2;;;;;
2011-08;251;83;3;3;;;;;;;;;;;;;;2;;;;;;;;;;;1;;;;;
2011-09;247;46;2;2;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;
2011-10;144;45;4;4;1;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;
2011-11;116;34;4;4;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;;
2011-12;168;46;9;9;;;;;;;;;;;;;;7;;;2;;;;;;;;;;;;;
2012-01;527;112;17;17;;;;;;;;;;;;;;14;;;1;;;1;;;;;1;;;;;
2012-02;312;60;8;8;;;;;1;;;;;;;;;3;;;4;;;;;;;;;;;;;
2012-03;274;27;5;5;;;;;;;;;;;;;;;;;2;;;;;;;;2;;;;;1
2012-04;231;39;2;2;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;
2012-05;519;105;25;23;7;;;;;;;;;;;;;15;;;;;;2;;;5;;2;;;;;1
2012-06;457;107;23;23;1;;;;;;;;;;;1;;4;;;;;;7;;;8;;1;;;;;2
2012-07;394;117;23;21;1;;;2;;;;;;;;;;8;;;1;;;5;;;2;;1;;;;;3
2012-08;342;94;26;26;;;;2;;;;;;;;;;4;;;;;;13;;;4;;;;;;;3
2012-09;432;136;20;19;1;;;;;;;;;;1;;;4;;;;;;1;;;3;;1;;;;;9
2012-10;621;215;45;43;1;;;5;;;;;;;;;1;12;;1;2;;;9;;;9;;;;;;;5
2012-11;1742;635;152;130;3;;;11;1;;;;;1;;;1;104;;1;2;;1;8;;;7;;;;3;;;10
2012-12;2804;756;123;108;2;;;5;;;;;;;;;;99;;;2;1;;3;;;3;;;;5;;;3
2013-01;3033;797;90;78;1;2;;10;;;;;;;;;1;57;;;;;1;;;;7;1;;;1;;;9
2013-02;2916;830;125;99;3;;;;1;;;;;;;;1;106;;;1;;;4;;;2;;;;3;;;4
2013-03;3463;921;130;112;1;2;;;;;;1;;;;;;109;;;1;;;11;;;2;;;;2;;;1
2013-04;4158;1193;94;80;3;3;;;;;;1;;;;;2;68;1;;2;;;14;;;;;;;;;;
2013-05;4156;1042;131;105;;;;2;1;;;1;;;;1;1;116;;;1;;;8;;;;;;;;;;
2013-06;3537;1150;118;102;1;;;;;;;;;;;;;110;;;;;;5;;1;;1;;;;;;
2013-07;3412;938;58;47;;3;;;;;1;;;1;;2;1;40;;;;;;7;;;;;;;2;;;1
2013-08;2896;799;123;114;1;;;4;;;;2;;1;;;;72;;;;;;42;;;1;;;;;;;
2013-09;3354;862;142;127;1;;;1;;;;1;;1;1;;1;74;;;;;;60;;;;;;;;;;3
2013-10;3531;1008;202;193;1;;;2;1;;1;3;;1;;;1;139;;;4;;;43;;;3;;;;;;;3
2013-11;3879;992;141;125;;;;2;;;;1;;1;;;;54;;;1;1;;62;;;17;1;;1;;;;
2013-12;5334;1217;124;114;;;;4;;;;1;;1;;;1;24;;;12;;;76;;1;2;;;;;2;;
2014-01;6047;1217;57;50;1;1;;2;;;;;;;;;;12;;;6;;;32;;;2;;;1;;1;;
2014-02;4617;1041;27;20;2;1;;;;;;3;;;;;;17;;;3;;;1;;;;;;;;;;
2014-03;3783;674;38;38;1;1;;3;;;;;;;;;;29;;;1;;;1;;;;;;;;;;2
2014-04;2876;630;23;13;2;1;;;;;;;;;;;;13;;;1;;;;;;;;;;;2;;4
2014-05;2389;657;30;20;2;;;;;;;1;;;;;;13;;;4;;1;;;;;;;;;;;9
2014-06;2116;664;55;47;;3;;1;;;;1;;;;;3;31;;;1;;;5;;;;;;;1;1;;8
2014-07;2460;700;34;25;1;;;1;;;1;3;;;;;;12;;;1;;;5;;;;;;1;;;;9
2014-08;2453;751;48;34;1;;;9;;;;3;;;;;2;17;;;5;;;2;;;;;;;;;;9
2014-09;3297;1190;63;47;1;1;;8;;;;1;;;;;1;29;;;3;;;4;;;;;;;;;;15
2014-10;3512;1370;71;52;;2;;4;;;;5;;;;;;38;;;7;;;5;;;;;;;;;;10
2014-11;3608;1394;91;77;;;;4;;;;;;;;;;75;;;1;;;2;;;1;;;;;;;8
2014-12;4678;1734;148;136;2;;;4;;;;3;;2;;;;109;;;12;;;1;;;;;;1;;;;17
2015-01;3665;1523;123;104;;;;1;;;;;;;;;;100;;;1;;;;;;;;1;;;;;20
2015-02;3404;1470;106;85;1;;;1;;;;3;;1;;;;85;;;1;;;4;;;;;;;;;;10
2015-03;6165;2102;114;88;1;;;3;;;;;;2;;;6;78;;;7;;;2;;;;;;;;;;16
2015-04;5844;2005;107;81;;1;;1;;;;4;;1;;;6;58;;;5;;;7;;;;1;;;;;;23
2015-05;4283;2822;122;92;;1;;2;;;;;;;;;2;104;;;2;;1;;;;;;;1;;;;9
2015-06;4284;2564;178;141;2;1;;5;;;;;;;;;2;148;;;5;;;1;;;;;;;;;1;13
2015-07;5259;1620;163;152;1;;;1;;;;;;;;1;6;129;;;10;;;4;;;1;;1;3;;;;6
2015-08;5797;1388;134;114;3;;;1;;;;;;;;;29;62;;;9;;11;1;;;1;;;5;;;;12
2015-09;6171;1049;143;132;7;;;4;;;;1;;;;;45;18;;1;21;;7;2;;;17;;;4;1;;;15
2015-10;8220;1193;162;148;3;1;;;;;;;;;;;42;9;;;60;;2;5;;;9;;;4;;;;27
2015-11;6825;958;161;154;;;;49;;;;2;;;;;52;7;;;33;;4;3;;;;;;4;;;;9
2015-12;2679;887;352;345;2;;;278;;;;1;;;;;35;3;;;16;;1;;;;1;;;5;1;;;11
2016-01;3093;897;385;371;;;;323;;;;;;;;;11;12;;;2;;2;;;;3;;;4;;;;30
2016-02;6975;876;107;96;3;2;;21;;;;;;;;;10;19;;;9;;4;1;;;13;;;4;;;;21
2016-03;13291;1562;280;255;3;3;;49;;;;;;;;;10;85;;;28;;5;49;;1;1;1;;8;;;;38
2016-04;8137;1185;163;137;6;5;;7;;;1;;;;;;13;70;;;13;;1;16;;;;;1;7;;;;24
2016-05;23279;1169;188;155;2;2;;5;1;;;;;;;1;2;111;;11;7;;2;15;;;1;;;7;;;;23
2016-06;9296;1472;188;147;6;5;;8;;;;;;;;1;4;94;;;21;;;5;;;;6;2;6;;;;34
2016-07;5631;670;109;87;1;3;;1;;;;;;;;;4;55;;;10;1;;10;;;;1;;6;;;;17
