Date;Total Mails;Total Detected;Hidden Partial;Hidden Full;1and1;AOL;AdobeMarketingCloud;Amazon;AppRiver;Apple;CenturyLink;Cisco;Comcast;Epsilon;ExperianMarketingServices;Fujitsu;GoDaddy;Google;MAXMailProtection;McAfee;Microsoft;Mimecast;NTT Communications;OVH;Oracle;Proofpoint;Rackspace;Salesforce;SoftLayer;Strato;Symantec;TrendMicro;VMware;Yahoo
2009-11;3;1;0;0;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
2010-02;1;1;0;0;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
2010-07;24;19;0;0;;;;;;;;;;;;;;;;;19;;;;;;;;;;;;;
2010-08;456;204;8;8;;;;;;;;;;;;;;60;;;134;;;;;;;;;;;;;10
2010-09;130;79;9;9;;;;;;;;;;;;;;39;;;37;;;;;;;;;;;;;3
2010-10;19;14;1;1;;;;;;;;;;;;;;4;;;10;;;;;;;;;;;;;
2010-11;29;17;0;0;;;;;;;;;;;;;;10;;;7;;;;;;;;;;;;;
2010-12;532;90;0;0;;2;;;;;;;;;;;;31;;;56;;;;;;;;;;;;;1
2011-01;788;180;5;5;;3;;;;;;;;;;;1;57;;;105;;;;;;;;;;;;;14
2011-02;231;141;11;11;;;;;;;;;;;;;;83;;;55;;;1;;;;;;;;;;2
2011-03;650;536;10;10;;;;;;;;;;;;;;151;;;373;;;;;;;;;;;;;12
2011-04;425;188;10;10;;;;;;;;;;;;;;61;;;119;;;;;;2;;4;;;;;2
2011-05;252;111;3;3;;;;;;;;;;;;;;43;;;61;;;;;;;;;;;;;7
2011-06;306;131;2;2;;;;;;;;;;;;;;46;;;82;;;;;;;;;;;;;3
2011-07;158;83;6;6;;;;;;;;;1;;;;;42;;;37;;;;;;;;2;;;;;1
2011-08;251;83;3;3;;;;;;;;;;;;;;47;;;35;;;;;;;;1;;;;;
2011-09;247;46;2;2;;;;;;;;;;;;;;36;;;8;;;;;;;;;;;;;2
2011-10;144;45;4;4;1;;;;;;;;;;;;;29;;;10;;;;;;;;;;;;;5
2011-11;116;34;4;4;;;;;;;;;;;;;;17;;;15;;;;;;;;;;;;;2
2011-12;168;46;9;9;;;;;;;;;;;;;;24;;;22;;;;;;;;;;;;;
2012-01;527;112;17;17;;;;;;1;;;;;;;;91;;;15;;;1;;;;;1;;;;;3
2012-02;312;60;8;8;;;;;1;;;;;;;;;38;;;21;;;;;;;;;;;;;
2012-03;274;27;5;5;;;;;;;;;;;;;;9;;;15;;;;;;;;2;;;;;1
2012-04;231;39;2;2;;;;;;1;;;;;;;;29;;;7;;;1;;;;;;;;;;1
2012-05;519;105;25;23;7;;;;;;;;;;;;;86;;;11;;;2;;;5;;2;;;;;2
2012-06;457;107;23;23;1;;;;;;;;;;;1;;81;;;6;;;7;;;8;;1;;;;;3
2012-07;394;117;23;21;1;;;2;;;;;;;;;;99;;;5;;;5;;;2;;1;;;;;7
2012-08;342;94;26;26;;;;2;;;;;;;;;;67;;;4;;;13;;;4;;;;;;;4
2012-09;432;136;20;19;1;;;;;;;;;;1;;;109;;;4;;;1;;;3;;1;;;;;20
2012-10;621;215;45;43;3;;;5;;;;;;;;;1;159;;1;14;;;9;;;9;;;;;;;24
2012-11;1742;635;152;130;6;2;;11;1;;;;2;1;;;1;439;;1;146;;1;8;;;7;;;;3;;;52
2012-12;2804;756;123;108;7;2;;5;;;;;;;;;;476;;;249;1;;3;;;3;;;;5;;;42
2013-01;3033;797;90;78;2;2;;10;;;;;;;;;1;353;;;390;;1;;;;7;1;;;1;;;49
2013-02;2916;830;125;99;6;;;;1;;;;;;;;1;469;;;342;;;4;;;2;;;;3;;;49
2013-03;3463;921;130;112;3;2;;;;;;1;;;;;;560;;;340;;;11;;;2;;;;2;;;45
2013-04;4158;1193;94;80;4;3;;;;;;1;;;;;2;581;1;;544;;;14;;;;;;;;;;68
2013-05;4156;1042;131;105;1;;;2;1;;;1;;;;1;1;609;;;398;;;8;;;;;;;;;;69
2013-06;3537;1150;118;102;3;1;;;;1;;;;;;;;699;;;420;;;5;;1;;1;;;;;;54
2013-07;3412;938;58;47;2;4;;;;;1;;;1;;2;1;537;;;382;;;7;;;;;;;2;;;32
2013-08;2896;799;123;114;1;;;4;;;;2;;1;;;;433;;;295;;;42;;;1;;;;;;;34
2013-09;3354;862;142;127;1;3;;1;;;;1;;1;1;;1;382;;;399;;;60;;;;;;;;;;40
2013-10;3531;1008;202;193;2;;;2;1;;1;3;;1;;;1;519;;;405;;;43;;;3;;;;;;;47
2013-11;3879;992;141;125;2;1;1;2;;;;1;;1;;;;447;;;451;1;;62;;;17;1;;1;;;;34
2013-12;5334;1217;124;114;1;;;4;;2;;1;;1;;;1;486;;;632;;;76;;1;2;;;;;2;;31
2014-01;6047;1217;57;50;2;2;;2;;;;;;;;;;494;;;674;;;32;;;2;;;1;;1;;29
2014-02;4617;1041;27;20;4;1;;;;;;3;;;;;;381;;;636;;;1;;;;;;;;;;34
2014-03;3783;674;38;38;5;1;;3;;4;;;;;;;;353;;;285;;;1;;;;;;;;;;22
2014-04;2876;630;23;13;3;1;;;;2;;;;;;;;392;;;230;;;;;;;;;;;2;;33
2014-05;2389;657;30;20;5;;;;;18;1;1;;;;;;384;;;259;;1;;;;;;;;;;;20
2014-06;2116;664;55;47;2;3;;1;;27;;1;;;;;3;374;;;237;;;5;;;;;;;1;1;;30
2014-07;2460;700;34;25;2;;;1;;24;1;3;;;;;;395;;;271;;;5;;;;;;1;;;;33
2014-08;2453;751;48;34;2;;;9;;68;;3;;;;;2;385;;;282;;;2;;;;;;;;;;28
2014-09;3297;1190;63;47;2;3;;8;;39;;1;;;;;1;844;;;325;;;4;;;;;;;;;;34
2014-10;3512;1370;71;52;1;6;;4;;27;;5;;;;;;998;;;358;;;5;;;;;;;;;;27
2014-11;3608;1394;91;77;1;;;5;;21;;;;;;;;1030;;;376;;;2;;;1;;;1;;;;25
2014-12;4678;1734;148;136;4;;;4;;;;3;;2;;;;1307;;;453;;;1;;;;;;1;;;;50
2015-01;3665;1523;123;104;;;;1;;19;;;;;;;;1251;;;295;;;;;;;;1;;;;;47
2015-02;3404;1470;106;85;1;;;1;;46;;3;;1;;;;1145;;;321;;;4;;;;;;;;;;31
2015-03;6165;2102;114;88;1;;;3;;8;;;;2;;;6;1520;;;651;;;2;;;;;;;;;;48
2015-04;5844;2005;107;81;;1;;1;;;;4;;1;;;6;1492;;;566;;;7;;;;1;;;;;;46
2015-05;4283;2822;122;92;3;4;;2;;2;;;;;;;2;2489;;;409;;1;;;;;;;1;;;;33
2015-06;4284;2564;178;141;2;1;;5;;1;;;;;;;2;2002;;;627;;;1;;;;;;;;;1;48
2015-07;5259;1620;163;152;2;;;1;;2;;;;;;1;6;1202;;;455;;;4;;;1;;1;3;;;;29
2015-08;5797;1388;134;114;6;;;1;;1;;;;;;;29;1042;;;330;;11;1;1;;1;;;5;;;;31
2015-09;6171;1049;143;132;7;1;;4;;1;;1;;;;;45;553;;1;417;;7;2;;;17;;;4;1;;;29
2015-10;8220;1193;162;148;3;1;;;;4;;;;;;;42;580;;;524;;2;5;;;9;;;4;;;;61
2015-11;6825;958;161;154;1;;;49;;1;;2;;;;;52;400;;;438;;4;3;;;;;;4;;;;20
2015-12;2679;887;352;345;2;;;278;;9;;1;;;;;35;398;;;160;;1;;;;1;;;5;1;;;16
2016-01;3093;897;385;371;;1;;323;;9;;;;;;;11;438;;;109;;2;;;;3;;;4;;;;40
2016-02;6975;876;107;96;8;2;;21;;2;;;;;;;10;609;;;205;;4;1;;;13;;;4;;;;34
2016-03;13291;1562;280;255;29;3;;49;;23;4;;;;;;10;1191;;;210;;5;49;;1;1;1;;8;;;;65
2016-04;8137;1185;163;137;21;6;;7;;;1;;;;;;13;960;;;196;;1;16;;;;;1;7;;;;38
2016-05;23279;1169;188;155;13;2;;5;1;5;2;;;;;1;2;1009;;11;136;;2;15;;;1;;;7;;;;36
2016-06;9296;1472;188;147;22;6;;8;;;1;;;;;1;4;1263;;;165;;;5;;;;6;2;6;;;;96
2016-07;5631;670;109;87;4;3;;1;;2;;;;;;;4;572;;;79;1;;10;;;;1;;6;;;;32
