Date;Total Mails;Total Detected;Hidden Partial;Hidden Full;1and1;AOL;Amazon;AppRiver;Apple;CenturyLink;Cisco;Comcast;ExperianMarketingServices;GoDaddy;McAfee;Microsoft;Mimecast;Oracle;Proofpoint;Rackspace;Salesforce;Symantec;Yahoo
2007-09;5;1;0;0;;1;;;;;;;;;;;;;;;;;
2007-10;1;0;0;0;;;;;;;;;;;;;;;;;;;
2007-11;18;0;0;0;;;;;;;;;;;;;;;;;;;
2007-12;33;1;1;1;;;;;;1;;;;;;;;;;;;;
2008-01;26;2;2;2;;;;;;2;;;;;;;;;;;;;
2008-02;35;10;8;8;;2;;;;8;;;;;;;;;;;;;
2008-03;13;3;0;0;;;;;;;;;;;;;;;;;;;3
2008-04;17;0;0;0;;;;;;;;;;;;;;;;;;;
2008-05;72;3;3;3;;;;;;;;;1;2;;;;;;;;;
2008-06;126;2;1;1;;1;;;;;;;1;;;;;;;;;;
2008-07;123;2;1;1;;;;;;;;;;;;1;;;;;;;1
2008-08;133;3;1;1;;;;;;;;;1;;;2;;;;;;;
2008-09;79;0;0;0;;;;;;;;;;;;;;;;;;;
2008-10;177;8;6;6;;;;1;;;;;;;;;;;;;;5;2
2008-11;153;18;7;7;;5;;;1;;;;1;;;1;;;;;;5;5
2008-12;59;3;0;0;;2;;;;;;;;;;;;;;;;;1
2009-01;27;2;1;1;;;;;;;;;;;;;;;;;;1;1
2009-02;1;0;0;0;;;;;;;;;;;;;;;;;;;
2009-03;1;0;0;0;;;;;;;;;;;;;;;;;;;
2009-05;20;2;1;1;;1;;;;;;;;1;;;;;;;;;
2009-06;22;3;1;1;;2;;;;;;;;;;;;;;1;;;
2009-07;10;3;0;0;;2;;;;;;;;;;;;;;;;;1
2009-08;9;1;0;0;;1;;;;;;;;;;;;;;;;;
2009-09;22;3;1;1;;2;;;;;;;1;;;;;;;;;;
2009-10;19;2;0;0;;2;;;;;;;;;;;;;;;;;
2009-11;12;2;1;1;;1;;;;;;;1;;;;;;;;;;
2009-12;8;0;0;0;;;;;;;;;;;;;;;;;;;
2010-01;16;2;1;1;;1;;;;;;;1;;;;;;;;;;
2010-02;9;1;1;1;;;;;;;;;1;;;;;;;;;;
